title,rank,date,artist,url,region,chart,trend,streams,min_rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,artist_url,track_popularity,artist_genres,artist_popularity
Real Hasta la Muerte,74,11/26/2021,Anuel AA,https://open.spotify.com/track/06HLRbv3Vzkvd5bjQVL12c,Chile,top200,NEW_ENTRY,60775,74,0.555,0.618,2.0,-7.183,1.0,0.45,0.488,0.0,0.254,0.337,137.345,601973.0,https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66,58.0,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",89.0
Recogelo,198,5/15/2020,"El Alfa, Chael Produciendo",https://open.spotify.com/track/1VDSBoi7eGLGxh10nVHUfN,Chile,top200,NEW_ENTRY,21545,198,0.603,0.758,0.0,-4.98,0.0,0.393,0.297,0.00924,0.0833,0.571,155.77,171282.0,https://open.spotify.com/artist/2oQX8QiMXOyuqbcZEFsZfm,48.0,"['dembow', 'rap dominicano', 'reggaeton', 'urbano latino']",78.0
Safaera,12,2/29/2020,"Bad Bunny, Jowell & Randy, ?engo Flow",https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y,Chile,top200,NEW_ENTRY,310627,1,0.607,0.829,2.0,-4.074,1.0,0.379,0.0103,0.0,0.107,0.685,96.172,295177.0,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,78.0,"['reggaeton', 'trap latino', 'urbano latino']",98.0
Scoby Doo Pa Pa,140,4/28/2018,Dj Kass,https://open.spotify.com/track/7ECPB5636spInH7CjYV3oL,Chile,top200,NEW_ENTRY,16043,131,0.905,0.713,10.0,-3.198,0.0,0.273,0.0345,0.000496,0.187,0.548,120.958,143334.0,https://open.spotify.com/artist/431Pb5EV8KsCBGTw96ZTQ4,0.0,['chilean hardcore'],44.0
Secretos (feat. Nicky Jam) - Remix,200,6/30/2018,Reykon,https://open.spotify.com/track/7FuNbtD8PCCxTN0LdQykSG,Chile,top200,NEW_ENTRY,13466,200,0.68,0.797,0.0,-3.874,0.0,0.0727,0.153,0.0,0.322,0.865,174.059,196048.0,https://open.spotify.com/artist/3PAwspMN27PDm81WwXDsMf,46.0,"['latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'reggaeton flow', 'trap latino', 'urbano latino']",59.0
Shallow,164,10/15/2018,"Lady Gaga, Bradley Cooper",https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,Chile,top200,NEW_ENTRY,16729,120,0.572,0.385,7.0,-6.362,1.0,0.0308,0.371,0.0,0.231,0.323,95.799,215733.0,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms,85.0,"['art pop', 'dance pop', 'pop']",87.0
Simplemente Amigos,110,2/26/2020,Ana Gabriel,https://open.spotify.com/track/5qGx6HUkOxs0NGvPzn9qrz,Chile,top200,NEW_ENTRY,34541,110,0.531,0.514,6.0,-11.253,1.0,0.044,0.432,0.0,0.155,0.372,141.233,227600.0,https://open.spotify.com/artist/41ESHLayJ5sDKjAOv6cMhe,66.0,"['latin pop', 'mariachi', 'ranchera']",72.0
Solo,164,10/6/2017,"Amenazzy, Lary Over",https://open.spotify.com/track/2rrJfOphzn4uQCK9X0x6R6,Chile,top200,NEW_ENTRY,14985,31,0.805,0.48,11.0,-7.179,0.0,0.208,0.245,0.00431,0.0955,0.26,98.045,229486.0,https://open.spotify.com/artist/6kq4GHwUcUojGIu0ziSNXf,0.0,"['dominican pop', 'latin hip hop', 'rap dominicano', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",66.0
Solos (feat. Lary Over),193,8/11/2017,Amenazzy,https://open.spotify.com/track/63RowmYY8kXgCY8KdppOMc,Chile,top200,NEW_ENTRY,11392,79,0.682,0.646,11.0,-4.217,0.0,0.219,0.804,0.00453,0.0998,0.507,196.072,230871.0,https://open.spotify.com/artist/6kq4GHwUcUojGIu0ziSNXf,0.0,"['dominican pop', 'latin hip hop', 'rap dominicano', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",66.0
Somebody To Love - Remastered 2011,153,10/19/2018,Queen,https://open.spotify.com/track/6cFZ4PLC19taNlpl9pbGMf,Chile,top200,NEW_ENTRY,23340,52,0.497,0.693,8.0,-7.024,1.0,0.0565,0.19,0.0,0.215,0.358,111.539,296493.0,https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d,69.0,"['classic rock', 'glam rock', 'rock']",86.0
Strawberry Kiwi,142,11/13/2020,Rauw Alejandro,https://open.spotify.com/track/4jkZjaZkOCpgk2pqV8Wrw3,Chile,top200,NEW_ENTRY,33259,142,0.784,0.713,0.0,-3.992,1.0,0.0958,0.191,2.35e-05,0.139,0.528,81.985,212000.0,https://open.spotify.com/artist/1mcTU81TzQhprhouKaTkpq,55.0,"['puerto rican pop', 'trap latino', 'urbano latino']",91.0
Subete,165,9/7/2018,"Lary Over, Lirico En La Casa",https://open.spotify.com/track/6CWMm2mJOrKyDH4W1X5d06,Chile,top200,NEW_ENTRY,19475,29,0.888,0.864,10.0,-2.11,0.0,0.127,0.609,2.07e-05,0.106,0.77,115.96,224019.0,https://open.spotify.com/artist/1jSjfSgDjedJdi5MoyRu78,0.0,"['latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",66.0
Supalonely,200,3/22/2020,"BENEE, Gus Dapperton",https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw,Chile,top200,NEW_ENTRY,18569,116,0.863,0.631,7.0,-4.689,1.0,0.0534,0.305,3.04e-05,0.123,0.817,128.977,223480.0,https://open.spotify.com/artist/0Cp8WN4V8Tu4QJQwCN5Md4,70.0,"['alt z', 'nz pop', 'pop']",68.0
Tan Enamorados,196,1/4/2021,CNCO,https://open.spotify.com/track/4z9b9AbzCw32Azqg8uJ0B6,Chile,top200,NEW_ENTRY,23138,110,0.656,0.705,5.0,-4.262,0.0,0.0908,0.166,0.0,0.202,0.53,172.003,179032.0,https://open.spotify.com/artist/0eecdvMrqBftK0M1VKhaF4,60.0,"['boy band', 'latin pop', 'reggaeton']",70.0
Te Traigo una Mariposa,122,9/18/2019,Maihuen de los Angeles,https://open.spotify.com/track/5DfU4WGd03IfdPzHYuc8SJ,Chile,top200,NEW_ENTRY,41470,122,0.729,0.387,7.0,-14.458,1.0,0.0353,0.661,0.0,0.106,0.86,119.574,146533.0,https://open.spotify.com/artist/4vkOLg1AyJgDqF9xwLsgXR,19.0,['cueca chilena'],40.0
The Truth Untold,75,5/18/2018,"BTS, Steve Aoki",https://open.spotify.com/track/48XfojJC87VKLlUotYV0Gm,Chile,top200,NEW_ENTRY,28182,75,0.57,0.422,1.0,-7.561,0.0,0.0422,0.372,0.0,0.127,0.169,113.007,242293.0,https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX,0.0,"['k-pop', 'k-pop boy group']",91.0
Therefore I Am,99,11/13/2020,Billie Eilish,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha,Chile,top200,NEW_ENTRY,43093,97,0.889,0.34,11.0,-7.773,0.0,0.0697,0.218,0.13,0.055,0.716,94.009,174321.0,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,74.0,"['art pop', 'electropop', 'pop']",89.0
Tiempo,66,5/7/2021,Ozuna,https://open.spotify.com/track/5H6SZcjJzBNsB2VzKW2Ivd,Chile,top200,NEW_ENTRY,52737,66,0.778,0.752,1.0,-4.976,0.0,0.149,0.25,0.00386,0.0866,0.791,180.017,171814.0,https://open.spotify.com/artist/1i8SpTcr7yvPOmcqrbnVXY,58.0,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",89.0
Todo Cambi?,153,2/22/2017,Camila,https://open.spotify.com/track/4OyzSXRSadNQt5EMwASdap,Chile,top200,NEW_ENTRY,10319,153,0.452,0.523,5.0,-6.453,1.0,0.0625,0.563,0.0,0.233,0.363,173.85,193827.0,https://open.spotify.com/artist/2gRP1Ezbtj3qrERnd0XasU,74.0,"['latin arena pop', 'latin pop']",71.0
Travesuras - Remix,30,3/12/2021,"Nio Garcia, Casper Magico, Ozuna, Wisin & Yandel, Myke Towers, Flow La Movie",https://open.spotify.com/track/0VWLId2RwPCno9s1cJm2Vy,Chile,top200,NEW_ENTRY,109355,10,0.739,0.788,1.0,-5.198,1.0,0.0731,0.0513,0.0,0.282,0.473,175.996,324426.0,https://open.spotify.com/artist/5hdhHgpxyniooUiQVaPxQ0,66.0,"['latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",73.0
Treat You Better,122,1/1/2017,Shawn Mendes,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,Chile,top200,MOVE_DOWN,15067,57,0.624,0.803,10.0,-4.105,0.0,0.246,0.123,0.0,0.114,0.821,166.018,187973.0,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr,0.0,"['canadian pop', 'dance pop', 'pop', 'viral pop']",85.0
Tu Falta De Querer - En Vivo,179,2/27/2017,Mon Laferte,https://open.spotify.com/track/1zBpoBt0ss3onvb5wwFETQ,Chile,top200,NEW_ENTRY,9709,179,0.402,0.655,10.0,-7.49,1.0,0.0443,0.154,0.00102,0.783,0.564,129.882,278373.0,https://open.spotify.com/artist/4boI7bJtmB1L3b1cuL75Zr,55.0,['latin alternative'],75.0
