title,rank,date,artist,url,region,chart,trend,streams,min_rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,artist_url,track_popularity,artist_genres,artist_popularity
Las Hojas de los Naranjos,99,9/18/2019,Maihuen de los Angeles,https://open.spotify.com/track/741s2FoDM8ydLh5Q0xrcdS,Chile,top200,NEW_ENTRY,46460,99,0.326,0.655,7.0,-6.59,1.0,0.0453,0.459,0.0,0.151,0.924,79.484,123133.0,https://open.spotify.com/artist/4vkOLg1AyJgDqF9xwLsgXR,23.0,['cueca chilena'],40.0
Lento,144,10/1/2018,"Thalia, Gente De Zona",https://open.spotify.com/track/4IcdqpHrf0ZcAh61fRAJ6N,Chile,top200,NEW_ENTRY,20391,130,0.691,0.931,7.0,-3.497,1.0,0.0494,0.041,0.0,0.319,0.727,92.038,218384.0,https://open.spotify.com/artist/23wEWD21D4TPYiJugoXmYb,0.0,"['dance pop', 'latin pop', 'mexican pop']",70.0
"Lo Que Paso, Paso",153,1/1/2018,Daddy Yankee,https://open.spotify.com/track/3OhQfgzWYxOZ3tOOYpPvqP,Chile,top200,NEW_ENTRY,18464,153,0.826,0.74,8.0,-6.341,0.0,0.0387,0.0972,0.0,0.369,0.833,97.01,210933.0,https://open.spotify.com/artist/4VMYDCV2IEDYJArk749S6m,0.0,"['latin hip hop', 'reggaeton', 'urbano latino']",89.0
Lost In Japan,145,3/23/2018,Shawn Mendes,https://open.spotify.com/track/7wvYmO5QscgIDDT0eNwbYX,Chile,top200,NEW_ENTRY,17057,145,0.726,0.708,7.0,-6.908,0.0,0.356,0.303,0.0,0.348,0.417,105.084,200133.0,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr,0.0,"['canadian pop', 'dance pop', 'pop', 'viral pop']",85.0
Lush Life,157,1/2/2017,Zara Larsson,https://open.spotify.com/track/1rIKgCH4H52lrvDcz50hS8,Chile,top200,NEW_ENTRY,8574,157,0.694,0.712,7.0,-3.923,0.0,0.046,0.132,0.0,0.211,0.799,98.023,201122.0,https://open.spotify.com/artist/1Xylc3o4UrD53lo9CvFvVg,78.0,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house']",77.0
Madrid (feat. Myke Towers),102,8/21/2020,Maluma,https://open.spotify.com/track/19OXtYzrJyCrQvTbfukt4H,Chile,top200,NEW_ENTRY,34780,17,0.764,0.741,9.0,-3.617,1.0,0.101,0.239,0.0,0.107,0.802,170.081,198570.0,https://open.spotify.com/artist/1r4hJ1h58CWwUQe3MxPuau,68.0,"['reggaeton', 'reggaeton colombiano', 'urbano latino']",85.0
Mcntm - Remix,181,12/6/2019,"Marvel Boy, Casper Magico, Arcangel, Quimico Ultra Mega, Pablo Chill-E",https://open.spotify.com/track/2YuxPUZng7DMxnUOnCbE3e,Chile,top200,NEW_ENTRY,29521,85,0.546,0.835,0.0,-4.996,1.0,0.276,0.359,1.61e-06,0.336,0.679,94.008,233777.0,https://open.spotify.com/artist/59AwfIz27MGfHEaxKeJUpS,37.0,"['perreo', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino', 'urbano mexicano']",49.0
Me Descontrola,177,8/22/2017,Alexis y Fido,https://open.spotify.com/track/3slazms3TpwswQBlwZ20hb,Chile,top200,NEW_ENTRY,12199,83,0.858,0.751,10.0,-5.221,1.0,0.0808,0.177,0.0,0.14,0.709,92.062,226749.0,https://open.spotify.com/artist/7tU1VKOuxiNZwBZC6RHidA,36.0,"['latin hip hop', 'reggaeton', 'reggaeton flow', 'urbano latino']",65.0
Me Gusta (with Cardi B & Myke Towers),198,9/20/2020,Anitta,https://open.spotify.com/track/7e1VoRlNumuEkXlITMHKLE,Chile,top200,NEW_ENTRY,19508,107,0.91,0.604,6.0,-4.392,0.0,0.082,0.448,0.0,0.0863,0.807,110.075,180788.0,https://open.spotify.com/artist/7FNnA9vBm6EKceENgCGRMb,60.0,"['funk pop', 'funk rj', 'pagode baiano', 'pop nacional']",80.0
Mi Vieja,49,5/29/2020,Anuel AA,https://open.spotify.com/track/4FDPuFJTMXyNtEd14Ca8R9,Chile,top200,NEW_ENTRY,75610,49,0.464,0.487,8.0,-5.698,1.0,0.0667,0.774,0.0,0.122,0.201,86.32,235053.0,https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66,55.0,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",89.0
