title,rank,date,artist,url,region,chart,trend,streams,min_rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,artist_url,track_popularity,artist_genres,artist_popularity
Talking to Myself,163,5/19/2017,Linkin Park,https://open.spotify.com/track/7nAfXgeHfDO50upcOjJOaq,Japan,top200,NEW_ENTRY,1739,63,0.593,0.712,2.0,-6.325,0.0,0.0286,0.00184,0.0,0.128,0.473,124.013,231307.0,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,64.0,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",87.0
Tenerife Sea,164,1/31/2017,Ed Sheeran,https://open.spotify.com/track/6vSwxzO2Qf4BinHSXRwZJe,Japan,top200,NEW_ENTRY,1151,118,0.53,0.346,8.0,-10.497,1.0,0.0376,0.697,1.07e-05,0.105,0.359,121.876,241347.0,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V,55.0,"['pop', 'uk pop']",92.0
The Ocean (feat. Shy Martin),129,1/4/2017,Mike Perry,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv,Japan,top200,NEW_ENTRY,1021,126,0.632,0.575,5.0,-6.478,1.0,0.029,0.0225,1.81e-06,0.104,0.188,90.037,183414.0,https://open.spotify.com/artist/6lB8vOoI4DRrrVxXwuV19c,70.0,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'swedish tropical house', 'tropical house']",69.0
The Truth Untold,18,5/18/2018,"BTS, Steve Aoki",https://open.spotify.com/track/48XfojJC87VKLlUotYV0Gm,Japan,top200,NEW_ENTRY,14226,12,0.57,0.422,1.0,-7.561,0.0,0.0422,0.372,0.0,0.127,0.169,113.007,242293.0,https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX,0.0,"['k-pop', 'k-pop boy group']",91.0
There's Nothing Holdin' Me Back,155,4/20/2017,Shawn Mendes,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu,Japan,top200,NEW_ENTRY,1601,9,0.857,0.8,2.0,-4.035,1.0,0.0583,0.381,0.0,0.0913,0.966,121.996,199440.0,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr,5.0,"['canadian pop', 'dance pop', 'pop', 'viral pop']",85.0
Turnin' Me Up,81,1/1/2017,BJ The Chicago Kid,https://open.spotify.com/track/5MjAFPcmrR1DYCgZrXCN4d,Japan,top200,NEW_ENTRY,1262,81,0.734,0.776,2.0,-4.193,1.0,0.0826,0.0406,0.193,0.0547,0.843,78.542,269173.0,https://open.spotify.com/artist/07d5etnpjriczFBB8pxmRe,58.0,"['alternative r&b', 'chicago rap', 'hip hop', 'neo soul', 'r&b', 'underground hip hop']",62.0
Up All Night,197,9/11/2017,Beck,https://open.spotify.com/track/6Z884oSfliz0mKqTJTXrwb,Japan,top200,NEW_ENTRY,2203,104,0.653,0.941,1.0,-2.709,0.0,0.0583,0.00556,0.0788,0.277,0.688,110.019,190448.0,https://open.spotify.com/artist/3vbKDsSS70ZX9D2OcvbZmS,0.0,"['alternative rock', 'anti-folk', 'indie rock', 'modern rock', 'permanent wave', 'rock']",68.0
WIPER,49,7/5/2017,Suchmos,https://open.spotify.com/track/1q4s4HcwQuT80aUssmxX2W,Japan,top200,NEW_ENTRY,5853,36,0.482,0.859,4.0,-5.13,0.0,0.0915,0.11,0.00405,0.118,0.86,201.92,302080.0,https://open.spotify.com/artist/0O0hxUrO2PKxZknken3R24,0.0,"['j-pop', 'j-rock', 'japanese alternative rock', 'japanese r&b', 'japanese soul']",48.0
Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,185,1/22/2019,SHAUN,https://open.spotify.com/track/1ZLrDPgR7mvuTco3rQK8Pk,Japan,top200,NEW_ENTRY,6888,100,0.737,0.747,10.0,-4.818,1.0,0.0323,0.269,0.0,0.219,0.447,105.943,192453.0,https://open.spotify.com/artist/72nLe76yBFSlP6VBzME358,72.0,['k-pop'],62.0
We are Bulletproof : the Eternal,84,2/21/2020,BTS,https://open.spotify.com/track/3bHKTyjnhkhCOpTDYTMZmN,Japan,top200,NEW_ENTRY,24954,66,0.526,0.575,9.0,-5.215,0.0,0.0309,0.225,0.0,0.108,0.19,84.047,261543.0,https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX,0.0,"['k-pop', 'k-pop boy group']",91.0
