title,rank,date,artist,url,region,chart,trend,streams,min_rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,artist_url,track_popularity,artist_genres,artist_popularity
La Melza,174,5/21/2021,"Dj Melzi, Mkeyz, Mphow 69",https://open.spotify.com/track/6RSPFClB5DLksnlUNZS6BL,South Africa,top200,NEW_ENTRY,3511,45,0.805,0.398,1.0,-11.618,1.0,0.0824,0.111,0.00446,0.0439,0.374,112.014,262583.0,https://open.spotify.com/artist/50EwMQOrDECR9dsYOzmcQz,29.0,['amapiano'],28.0
Lenie Blou III,172,2/14/2019,Spoegwolf,https://open.spotify.com/track/1TLT6YUWDS7E0MxAxOj9Ht,South Africa,top200,NEW_ENTRY,1141,172,0.584,0.551,4.0,-12.314,1.0,0.0364,0.597,0.00206,0.121,0.163,116.123,193467.0,https://open.spotify.com/artist/6o4TnAxiqaQfZMLl55NFdn,38.0,"['afrikaans', 'south african alternative', 'south african pop']",47.0
Life Of The Party (with Andr? 3000),20,11/15/2021,Kanye West,https://open.spotify.com/track/2yBb1CRq98SSWRuDSn36SZ,South Africa,top200,NEW_ENTRY,10329,20,0.502,0.714,2.0,-6.668,1.0,0.257,0.138,0.0,0.97,0.305,79.136,391656.0,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,59.0,"['chicago rap', 'rap']",91.0
Lights Up,14,10/11/2019,Harry Styles,https://open.spotify.com/track/2plLJpUcYPFrl1sW2pMG63,South Africa,top200,NEW_ENTRY,5949,10,0.585,0.62,3.0,-8.09,0.0,0.0327,0.0426,0.00224,0.15,0.281,101.939,172227.0,https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3,0.0,['pop'],90.0
Lithuania (feat. Travis Scott),29,9/4/2020,Big Sean,https://open.spotify.com/track/4VLTxHOyFX5FRtkpsFm5Pc,South Africa,top200,NEW_ENTRY,6536,29,0.676,0.82,7.0,-5.217,1.0,0.0554,0.0493,0.0,0.615,0.618,152.028,199250.0,https://open.spotify.com/artist/0c173mlxpT3dSFRgMO8XPh,56.0,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",79.0
Lost In Japan,82,2/7/2019,Shawn Mendes,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV,South Africa,top200,NEW_ENTRY,1555,79,0.713,0.738,10.0,-6.784,1.0,0.374,0.255,0.0,0.106,0.425,105.027,201200.0,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr,71.0,"['canadian pop', 'dance pop', 'pop', 'viral pop']",85.0
Love Someone,104,9/14/2018,Lukas Graham,https://open.spotify.com/track/6r3baE6njwU4aoJq6zPukG,South Africa,top200,NEW_ENTRY,1123,43,0.661,0.412,0.0,-6.585,1.0,0.0409,0.173,0.0,0.113,0.299,85.932,205463.0,https://open.spotify.com/artist/25u4wHJWxCA9vO0CzxAbK7,0.0,"['danish pop', 'pop', 'scandipop']",72.0
Love Thru The Computer (feat. Justin Bieber),81,5/31/2019,Gucci Mane,https://open.spotify.com/track/1VsqQEYObJsOPaeZwEXRPg,South Africa,top200,NEW_ENTRY,1868,81,0.756,0.908,6.0,-4.427,0.0,0.0717,0.0848,0.0,0.377,0.78,100.021,173927.0,https://open.spotify.com/artist/13y7CgLHjMVRMDqxdx0Xdo,0.0,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",79.0
Mahogany,112,1/31/2020,Lil Wayne,https://open.spotify.com/track/5f9JYuHSIHjp6rggue13RS,South Africa,top200,NEW_ENTRY,2468,112,0.466,0.608,1.0,-4.8,0.0,0.45,0.0737,0.0,0.406,0.41,79.48,177867.0,https://open.spotify.com/artist/55Aa2cqylxrFIXC767Z865,54.0,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",87.0
Mama It's Bad 2,192,8/13/2021,Blxckie,https://open.spotify.com/track/4sMlCilJoVzpm9P3iEReqS,South Africa,top200,NEW_ENTRY,3287,192,0.549,0.736,10.0,-6.9,0.0,0.35,0.259,0.0,0.219,0.524,87.394,134726.0,https://open.spotify.com/artist/4pQcWzOMSmmz5DK6TqO2FL,20.0,"['afro soul', 'south african pop', 'south african trap']",56.0
