title,rank,date,artist,url,region,chart,trend,streams,min_rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,artist_url,track_popularity,artist_genres,artist_popularity
BAD CON NICKY,6,5/10/2020,"Bad Bunny, Nicky Jam",https://open.spotify.com/track/5bmSver2b3ZXyuyLKtgnFI,Costa Rica,top200,NEW_ENTRY,24600,5,0.59,0.729,7.0,-4.95,0.0,0.0893,0.321,0.0,0.659,0.712,93.094,202240.0,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,65.0,"['reggaeton', 'trap latino', 'urbano latino']",98.0
Bad Energy,139,7/10/2020,Juice WRLD,https://open.spotify.com/track/0JoWBcL61YWLXM5vW0YTHO,Costa Rica,top200,NEW_ENTRY,3812,139,0.654,0.452,7.0,-6.36,1.0,0.0439,0.17,0.0,0.114,0.532,138.034,186749.0,https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz,0.0,"['chicago rap', 'melodic rap']",90.0
Bank Account,186,8/3/2017,21 Savage,https://open.spotify.com/track/5eqK0tbzUPo2SoeZsov04s,Costa Rica,top200,NEW_ENTRY,2300,122,0.884,0.347,8.0,-8.227,0.0,0.35,0.015,7e-06,0.0871,0.376,75.016,220307.0,https://open.spotify.com/artist/1URnnhqYAYcrqrcwql10ft,78.0,"['atl hip hop', 'rap']",92.0
Baracunatana,193,4/7/2018,Aterciopelados,https://open.spotify.com/track/1SBwYuWcbpJOXZBlzWfJQw,Costa Rica,top200,NEW_ENTRY,2267,193,0.671,0.883,4.0,-4.387,0.0,0.0479,0.151,0.0,0.132,0.946,89.978,151667.0,https://open.spotify.com/artist/3MqjsWDLhq8SyY6N3PE8yW,60.0,"['colombian rock', 'latin alternative', 'latin pop', 'latin rock', 'pop rock', 'rock en espanol']",57.0
Blem,150,3/19/2017,Drake,https://open.spotify.com/track/2XlHu0HcujBCkWMdIAvrqt,Costa Rica,top200,NEW_ENTRY,2150,104,0.726,0.535,7.0,-7.804,0.0,0.0476,0.0533,1.38e-05,0.0984,0.375,98.067,216558.0,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,64.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",97.0
Bodak Yellow,195,9/18/2017,Cardi B,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM,Costa Rica,top200,NEW_ENTRY,2323,113,0.929,0.723,11.0,-5.792,0.0,0.109,0.0672,0.0,0.346,0.458,125.022,223962.0,https://open.spotify.com/artist/4kYSro6naA4h99UJvo89HB,58.0,"['dance pop', 'pop', 'rap']",82.0
Body,172,7/17/2018,"Loud Luxury, Brando",https://open.spotify.com/track/43V1z6QToNNWNldV4FEG6r,Costa Rica,top200,NEW_ENTRY,2640,164,0.752,0.764,1.0,-4.399,1.0,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,163216.0,https://open.spotify.com/artist/6t1gpxYbY8OlLA7D2RiikQ,0.0,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",71.0
Breaking the Habit,113,7/21/2017,Linkin Park,https://open.spotify.com/track/6n8TMVyFKoUmDc4apxceRD,Costa Rica,top200,NEW_ENTRY,3771,113,0.579,0.849,4.0,-5.218,0.0,0.0303,0.108,0.0,0.0909,0.581,100.021,196907.0,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,67.0,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",87.0
Calma - Remix,190,10/25/2018,"Pedro Cap?, Farruko",https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,Costa Rica,top200,NEW_ENTRY,2482,1,0.826,0.773,11.0,-4.218,0.0,0.0524,0.323,0.0,0.143,0.761,126.899,238200.0,https://open.spotify.com/artist/4QVBYiagIaa6ZGSPMbybpy,73.0,"['latin pop', 'puerto rican pop']",69.0
Cold Heart - PNAU Remix,190,9/6/2021,"Elton John, Dua Lipa",https://open.spotify.com/track/6zSpb8dQRaw0M1dK8PBwQz,Costa Rica,top200,NEW_ENTRY,3074,18,0.796,0.798,1.0,-6.312,1.0,0.0317,0.034,4.19e-05,0.0952,0.942,116.032,202735.0,https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b,85.0,"['glam rock', 'mellow gold', 'piano rock']",84.0
Congratulations,177,2/21/2017,"Post Malone, Quavo",https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,Costa Rica,top200,NEW_ENTRY,2259,120,0.63,0.804,6.0,-4.183,1.0,0.0363,0.215,0.0,0.253,0.492,123.146,220293.0,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60,81.0,"['dfw rap', 'melodic rap', 'rap']",89.0
Coronao Now,188,11/21/2019,"El Alfa, Lil Pump",https://open.spotify.com/track/7FbKipScVxkjQxQXwTd0gL,Costa Rica,top200,NEW_ENTRY,3205,82,0.941,0.729,6.0,-7.56,0.0,0.246,0.146,0.00451,0.18,0.718,118.026,217881.0,https://open.spotify.com/artist/2oQX8QiMXOyuqbcZEFsZfm,64.0,"['dembow', 'rap dominicano', 'reggaeton', 'urbano latino']",78.0
Counting Stars,190,1/1/2017,OneRepublic,https://open.spotify.com/track/5edBgVtRD0fvWk140Sl21T,Costa Rica,top200,MOVE_DOWN,1659,108,0.662,0.71,1.0,-4.945,0.0,0.0364,0.0603,0.0,0.119,0.465,121.979,257267.0,https://open.spotify.com/artist/5Pwc4xIPtQLFEnJriah9YJ,0.0,"['piano rock', 'pop']",85.0
Danza de Gardenias (feat. Los Macorinos),161,4/11/2018,Natalia Lafourcade,https://open.spotify.com/track/4v2SHoi0mUbeS4no69gQNX,Costa Rica,top200,NEW_ENTRY,2370,161,0.666,0.52,5.0,-7.047,0.0,0.0439,0.625,0.0,0.243,0.733,88.934,263253.0,https://open.spotify.com/artist/1hcdI2N1023RvSwLzTtdsp,45.0,"['latin alternative', 'mexican pop', 'rock en espanol', 'veracruz indie']",75.0
Desconocidos,197,10/12/2018,"Mau y Ricky, Manuel Turizo, Camilo",https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,Costa Rica,top200,NEW_ENTRY,2367,3,0.709,0.771,7.0,-4.598,1.0,0.166,0.146,3.29e-06,0.249,0.709,174.006,204453.0,https://open.spotify.com/artist/2wkoKEfS6dXwThbyTnZWFU,63.0,"['latin pop', 'pop venezolano', 'reggaeton', 'urbano latino', 'urbano mexicano']",73.0
Desnudarte,151,12/26/2020,"Brytiago, Jay Wheeler",https://open.spotify.com/track/15zGj634ctKvXflVumO5Qq,Costa Rica,top200,NEW_ENTRY,3835,119,0.866,0.527,10.0,-6.261,1.0,0.167,0.372,3.88e-06,0.0945,0.599,91.015,262200.0,https://open.spotify.com/artist/00XhexlJEXQstHimpZN910,0.0,"['latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",76.0
Do I Wanna Know?,188,3/19/2018,Arctic Monkeys,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt,Costa Rica,top200,NEW_ENTRY,2263,149,0.548,0.532,5.0,-7.596,1.0,0.0323,0.186,0.000263,0.217,0.405,85.03,272394.0,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH,7.0,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",88.0
D?a De Pago,151,9/23/2021,"Ovi, Duki",https://open.spotify.com/track/56CnVxbOqzOXBJrVxnMTtk,Costa Rica,top200,NEW_ENTRY,3658,131,0.817,0.578,0.0,-5.244,0.0,0.211,0.0415,0.0,0.0626,0.619,127.988,187296.0,https://open.spotify.com/artist/4o0NtnL2m0lzZmEdRas1qv,65.0,"['corrido', 'corridos tumbados', 'nueva musica mexicana', 'sad sierreno', 'trap latino', 'urbano latino', 'urbano mexicano']",72.0
El Amante,99,1/16/2017,Nicky Jam,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs,Costa Rica,top200,NEW_ENTRY,2934,3,0.683,0.691,8.0,-5.535,1.0,0.0432,0.243,0.0,0.14,0.732,179.91,219507.0,https://open.spotify.com/artist/1SupJlEpv7RS2tPNRaHViT,71.0,"['latin hip hop', 'reggaeton', 'urbano latino']",82.0
El Efecto,160,4/12/2020,"Rauw Alejandro, Chencho Corleone",https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj,Costa Rica,top200,NEW_ENTRY,2840,24,0.849,0.781,0.0,-4.635,0.0,0.159,0.406,0.0,0.0801,0.893,84.041,217143.0,https://open.spotify.com/artist/1mcTU81TzQhprhouKaTkpq,77.0,"['puerto rican pop', 'trap latino', 'urbano latino']",91.0
"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",59,8/30/2019,D?melo Flow,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL,Costa Rica,top200,NEW_ENTRY,6405,17,0.747,0.647,9.0,-3.234,1.0,0.0737,0.113,0.0,0.112,0.478,87.988,233113.0,https://open.spotify.com/artist/3fZk3Gm5dN5v5yfYMQ04Bx,60.0,"['reggaeton', 'reggaeton flow', 'urbano latino']",69.0
"Esc?pate Conmigo (feat. Ozuna, Bad Bunny, De La Ghetto, Arc?ngel, Noriel & Almighty) - Remix",168,12/1/2017,"Wisin, Arcangel",https://open.spotify.com/track/5YY7ht3PCArlLjLbcTiAvh,Costa Rica,top200,MOVE_UP,2582,153,0.797,0.804,1.0,-4.817,1.0,0.0711,0.0464,1.54e-05,0.317,0.451,91.973,386333.0,https://open.spotify.com/artist/3E6xrwgnVfYCrCs0ePERDz,65.0,"['latin hip hop', 'reggaeton', 'urbano latino']",77.0
Fragancia (with Jay Wheeler),188,5/28/2021,Juhn,https://open.spotify.com/track/3YNolHalg56UrvPabqw6JP,Costa Rica,top200,NEW_ENTRY,3461,105,0.83,0.77,5.0,-3.364,0.0,0.1,0.444,7.24e-05,0.23,0.739,82.001,237627.0,https://open.spotify.com/artist/2LmcxBak1alK1bf7d1beTr,59.0,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",71.0
"Go Loko (feat. Tyga, Jon Z)",200,5/24/2019,YG,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD,Costa Rica,top200,NEW_ENTRY,2941,118,0.88,0.67,2.0,-5.177,1.0,0.0468,0.325,4.17e-06,0.0662,0.131,101.008,299227.0,https://open.spotify.com/artist/0A0FS04o6zMoto8OKPsDwY,65.0,"['cali rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",76.0
Gotta Be You,198,7/23/2020,One Direction,https://open.spotify.com/track/3jJ5NJ3aNWvV70Rd7hgZIH,Costa Rica,top200,NEW_ENTRY,3129,198,0.495,0.583,8.0,-4.531,1.0,0.0249,0.374,0.0,0.0781,0.603,84.969,244507.0,https://open.spotify.com/artist/4AK6F7OLvEQ5QYCBNiQWHq,63.0,"['boy band', 'pop', 'post-teen pop', 'talent show']",86.0
Gucci Gang,197,10/17/2017,Lil Pump,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc,Costa Rica,top200,NEW_ENTRY,2277,32,0.936,0.523,5.0,-6.71,1.0,0.0597,0.239,0.0,0.117,0.699,119.889,124056.0,https://open.spotify.com/artist/3wyVrVrFCkukjdVIdirGVY,63.0,"['emo rap', 'miami hip hop', 'rap', 'trap', 'vapor trap']",70.0
