title,rank,date,artist,url,region,chart,trend,streams,min_rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,artist_url,track_popularity,artist_genres,artist_popularity
We're Good,17,2/12/2021,Dua Lipa,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh,Sweden,top200,NEW_ENTRY,83495,17,0.722,0.588,6.0,-5.932,1.0,0.0544,0.0319,0.0,0.183,0.59,134.01,165507.0,https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we,75.0,"['dance pop', 'pop', 'uk pop']",88.0
Western Stars,78,6/14/2019,Bruce Springsteen,https://open.spotify.com/track/58YZTutWhYcglUHl3Udnlj,Sweden,top200,NEW_ENTRY,47651,78,0.633,0.263,0.0,-10.705,1.0,0.0263,0.681,0.00045,0.233,0.37,107.057,278813.0,https://open.spotify.com/artist/3eqjTLE0HfPfh78zjh6TqT,43.0,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']",76.0
Wonderchild,71,2/16/2018,"Hot Shade, Christian Walz",https://open.spotify.com/track/3pTrDpHwuHom1q7nuY25vv,Sweden,top200,NEW_ENTRY,37707,71,0.605,0.857,5.0,-3.215,0.0,0.0643,0.126,1.97e-05,0.161,0.509,98.087,139869.0,https://open.spotify.com/artist/3GtCKJA4SkOxN65MWjm82R,0.0,"['dance pop', 'edm', 'pop dance', 'pop edm', 'tropical house']",64.0
Words,38,5/19/2017,Miriam Bryant,https://open.spotify.com/track/1Q1oGJBjncrFjeLxu5Dyd3,Sweden,top200,NEW_ENTRY,95645,38,0.594,0.477,4.0,-9.416,0.0,0.0477,0.0855,2.9e-05,0.18,0.543,101.926,186805.0,https://open.spotify.com/artist/2zd9YxlsQvA5mkZ1NarYVQ,26.0,"['swedish idol pop', 'swedish pop', 'swedish pop rap']",61.0
XTCY,171,8/31/2018,Kanye West,https://open.spotify.com/track/64wdPpi4OeCQF4W2oMZ9Wt,Sweden,top200,NEW_ENTRY,20480,171,0.553,0.759,2.0,-3.385,1.0,0.0541,0.213,0.0,0.726,0.246,94.046,176613.0,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,44.0,"['chicago rap', 'rap']",91.0
Yodeling Walmart Kid EDM,145,5/3/2018,Trap City,https://open.spotify.com/track/1LRL3bNGQPKut5bpwLRTBq,Sweden,top200,MOVE_UP,22358,145,0.841,0.265,5.0,-10.796,1.0,0.0576,0.356,0.00214,0.375,0.167,126.981,89313.0,https://open.spotify.com/artist/78D8GHzW7QisjfTwhk9PM2,0.0,['bass trap'],17.0
You Make My Dreams (Come True),142,12/31/2017,Daryl Hall & John Oates,https://open.spotify.com/track/4o6BgsqLIBViaGVbx5rbRk,Sweden,top200,NEW_ENTRY,48355,142,0.751,0.501,5.0,-12.151,1.0,0.0551,0.234,0.112,0.0467,0.902,167.057,190627.0,https://open.spotify.com/artist/77tT1kLj6mCWtFNqiOmP9H,78.0,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",73.0
Young And Menace,198,4/28/2017,Fall Out Boy,https://open.spotify.com/track/72OGJT4cL9BQjHTa8h28tz,Sweden,top200,NEW_ENTRY,20443,198,0.645,0.83,11.0,-5.124,1.0,0.0549,0.0992,0.000655,0.128,0.34,108.058,223800.0,https://open.spotify.com/artist/4UXqAaa6dQYAk18Lv7PEgX,0.0,"['emo', 'modern rock']",82.0
Youth,63,1/13/2017,Galavant,https://open.spotify.com/track/1xolMlj2dbqzRQDNIUX4LZ,Sweden,top200,NEW_ENTRY,42617,63,0.581,0.777,2.0,-5.145,1.0,0.115,0.0537,3.87e-06,0.357,0.636,90.313,164062.0,https://open.spotify.com/artist/7CsSec3NzFx2UipwF1APhu,0.0,[],31.0
ZEIG DICH,60,5/17/2019,Rammstein,https://open.spotify.com/track/3d3k8g4GTVx9EFIFlOZOEX,Sweden,top200,NEW_ENTRY,57287,60,0.545,0.942,0.0,-4.283,0.0,0.0417,0.00108,0.0246,0.0585,0.365,165.066,255845.0,https://open.spotify.com/artist/6wWVKhxIU2cEi0K81v7HvP,66.0,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte']",81.0
