title,rank,date,artist,url,region,chart,trend,streams,min_rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,artist_url,track_popularity,artist_genres,artist_popularity
"break up with your girlfriend, i'm bored",19,2/8/2019,Ariana Grande,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,Costa Rica,top200,NEW_ENTRY,13404,15,0.726,0.554,5.0,-5.29,0.0,0.0917,0.0421,0.0,0.106,0.335,169.999,190440.0,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,78.0,"['dance pop', 'pop']",91.0
illicit affairs,121,7/24/2020,Taylor Swift,https://open.spotify.com/track/2NmsngXHeC1GQ9wWrzhOMf,Costa Rica,top200,NEW_ENTRY,4556,121,0.559,0.31,10.0,-10.445,1.0,0.0338,0.881,0.0,0.106,0.46,119.845,190898.0,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,75.0,['pop'],100.0
infinity (888) - feat. Joey Bada$$,180,6/19/2018,XXXTENTACION,https://open.spotify.com/track/7J2gyNghNTzl4EsLhXp01Q,Costa Rica,top200,NEW_ENTRY,2400,180,0.562,0.579,10.0,-6.788,0.0,0.484,0.274,0.0,0.102,0.577,84.143,176591.0,https://open.spotify.com/artist/15UsOTVnJzReFVN1VCnxy4,73.0,"['emo rap', 'miami hip hop']",88.0
?Los Hombres No Lloran?,74,5/29/2020,Anuel AA,https://open.spotify.com/track/6GzxGKBC3r73KqdOBHHVYk,Costa Rica,top200,NEW_ENTRY,7849,74,0.489,0.498,11.0,-7.192,0.0,0.0395,0.699,0.0,0.0796,0.378,79.949,189000.0,https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66,57.0,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",89.0
3 Nights,114,4/15/2019,Dominic Fike,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u,Czech Republic,top200,NEW_ENTRY,3272,44,0.815,0.518,7.0,-6.594,0.0,0.0897,0.223,0.0,0.104,0.877,151.891,177667.0,https://open.spotify.com/artist/6USv9qhCn6zfxlBQIYJ9qs,75.0,"['alternative pop rock', 'pop']",74.0
4 (feat. Lvcas Dope),126,2/6/2018,Konex,https://open.spotify.com/track/6FzXb4BCHR67C6v7CYLl6H,Czech Republic,top200,NEW_ENTRY,1938,99,0.673,0.83,6.0,-6.364,0.0,0.0843,0.0479,1.02e-06,0.168,0.405,81.01,213333.0,https://open.spotify.com/artist/1EArbtCy5GrFydhn1Oq4hY,19.0,['czsk hip hop'],42.0
AHA,164,3/11/2019,"Dalyb, SNUBBS",https://open.spotify.com/track/0idlqLhdbm2THNgXOIKuqO,Czech Republic,top200,NEW_ENTRY,2716,164,0.652,0.701,11.0,-6.521,0.0,0.278,0.00275,0.0,0.0975,0.29,84.927,167471.0,https://open.spotify.com/artist/0GZP8QBchHTcjn9jFtLDtK,24.0,"['czsk hip hop', 'slovak trap']",44.0
AHA (feat. CA$HANOVA BULHAR),16,3/4/2021,ARIAN730,https://open.spotify.com/track/1SOmgsAn32IIUWYjrFZJHn,Czech Republic,top200,NEW_ENTRY,11777,16,0.768,0.568,4.0,-8.201,0.0,0.0384,0.277,3.05e-06,0.0701,0.669,115.007,229565.0,https://open.spotify.com/artist/17kBe5hFUuyBKPV7sDgoxS,31.0,"['czech drill', 'czech hip hop', 'czsk hip hop']",30.0
Adeste fideles,37,12/24/2017,D?tsk? sbor,https://open.spotify.com/track/54qvGFePDKVy9wIqxxtx7n,Czech Republic,top200,NEW_ENTRY,8831,37,0.426,0.287,2.0,-12.703,1.0,0.0334,0.896,1.9e-05,0.0846,0.319,122.702,190493.0,https://open.spotify.com/artist/0sySYREvn2IRaynpbf4Fmj,8.0,[],28.0
Alfred - Interlude,40,1/17/2020,Eminem,https://open.spotify.com/track/4EmunTy7kNBYQivOa8F6b8,Czech Republic,top200,NEW_ENTRY,8757,40,0.429,0.231,5.0,-20.43,1.0,0.402,0.878,0.0,0.279,0.914,74.545,30133.0,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,47.0,"['detroit hip hop', 'hip hop', 'rap']",92.0
