title,rank,date,artist,url,region,chart,trend,streams,min_rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,artist_url,track_popularity,artist_genres,artist_popularity
YOUNGSHIT (feat. Shiva),11,10/16/2020,Rondodasosa,https://open.spotify.com/track/4mcbtdZ2iBm6N6PRXHSizw,Italy,top200,NEW_ENTRY,220925,11,0.737,0.605,10.0,-7.628,0.0,0.0984,0.0994,0.0,0.116,0.446,84.071,141661.0,https://open.spotify.com/artist/61bQ4nwIioR8w6PGxzpyY3,53.0,"['drill italiana', 'italian hip hop', 'trap italiana']",71.0
Yung (feat. tha Supreme) - prod. tha Supreme,35,1/4/2019,Dani Faiv,https://open.spotify.com/track/6JgOoszSJDN5yl5NYa6K9V,Italy,top200,NEW_ENTRY,95252,35,0.791,0.674,11.0,-6.072,1.0,0.117,0.0803,0.0,0.204,0.543,133.02,159474.0,https://open.spotify.com/artist/0ffKEtMDnROKWyJtXUnLbJ,30.0,['italian hip hop'],62.0
imagine,71,12/14/2018,Ariana Grande,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,Italy,top200,NEW_ENTRY,72133,71,0.714,0.474,8.0,-4.993,1.0,0.039,0.374,0.0,0.106,0.376,62.484,212293.0,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,0.0,"['dance pop', 'pop']",91.0
m%n,81,10/21/2021,tha Supreme,https://open.spotify.com/track/5VSmYYZYuSCSlOweGMpM1A,Italy,top200,NEW_ENTRY,79098,1,0.766,0.667,10.0,-4.668,0.0,0.053,0.522,0.0,0.0838,0.52,128.62,174364.0,https://open.spotify.com/artist/19i93sA0D7yS9dYoVNBqAA,52.0,"['italian hip hop', 'italian pop', 'trap italiana']",73.0
"\City Of Stars (Humming) - From \""\""La La Land\""\"" Soundtrack\""""",141,2/26/2017,"Justin Hurwitz, Emma Stone",https://open.spotify.com/track/4h4qZgzHongzXzxyhCPKtt,Japan,top200,NEW_ENTRY,1589,121,0.569,0.0126,4.0,-24.789,0.0,0.035,0.979,0.0137,0.111,0.393,92.443,162973.0,https://open.spotify.com/artist/2snm3HmsnDUDxbIChdl2Oj,0.0,"['hollywood', 'movie tunes']",66.0
"\Engagement Party - From \""\""La La Land\""\"" Soundtrack\""""",199,2/25/2017,Justin Hurwitz,https://open.spotify.com/track/5PYPCxyWltRIyPkhSsnWIk,Japan,top200,NEW_ENTRY,1166,109,0.414,0.0595,3.0,-23.003,1.0,0.0392,0.992,0.912,0.116,0.302,82.777,87213.0,https://open.spotify.com/artist/2snm3HmsnDUDxbIChdl2Oj,0.0,"['hollywood', 'movie tunes']",66.0
1-800-273-8255,54,5/6/2017,"Logic, Alessia Cara, Khalid",https://open.spotify.com/track/5aFQU3VPCQ3YGfKBA4tLfj,Japan,top200,NEW_ENTRY,3517,18,0.627,0.572,5.0,-7.738,0.0,0.0373,0.568,1.52e-06,0.198,0.361,100.041,250173.0,https://open.spotify.com/artist/4xRYI6VqpkE3UwrDrAZL8L,0.0,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",79.0
A Different Way (with Lauv),125,9/22/2017,DJ Snake,https://open.spotify.com/track/0Wv5wuenRLI3BcwgT3HPIP,Japan,top200,NEW_ENTRY,3343,85,0.781,0.765,8.0,-4.092,1.0,0.0385,0.534,0.0,0.152,0.564,104.987,198286.0,https://open.spotify.com/artist/540vIaP2JwjQb9dm3aArA4,0.0,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",78.0
Aitai,196,7/19/2017,Miliyah,https://open.spotify.com/track/26b8AQqACTxOEWpEejMPLY,Japan,top200,NEW_ENTRY,1940,164,0.546,0.564,0.0,-5.647,1.0,0.0339,0.413,0.0,0.0864,0.517,77.98,270373.0,https://open.spotify.com/artist/29D4iRqjepAsZt6o5hccND,13.0,"['anime', 'j-pop', 'japanese r&b']",52.0
Attitude,180,10/5/2019,Mrs. GREEN APPLE,https://open.spotify.com/track/7zbsxhqTb3yDICWuNBCodY,Japan,top200,NEW_ENTRY,11942,173,0.655,0.792,2.0,-2.453,1.0,0.0722,0.0246,0.0,0.0805,0.793,140.016,228600.0,https://open.spotify.com/artist/4QvgGvpgzgyUOo8Yp8LDm9,58.0,"['anime rock', 'j-pop', 'j-rock']",73.0
