title,rank,date,artist,url,region,chart,trend,streams,min_rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,artist_url,track_popularity,artist_genres,artist_popularity
Superlove,95,4/21/2018,"Avicii, Lenny Kravitz",https://open.spotify.com/track/0kXJNqmYdjwb31QLWGkNb7,Czech Republic,top200,NEW_ENTRY,2783,95,0.729,0.955,9.0,-6.87,0.0,0.113,0.136,0.918,0.0841,0.896,128.008,322515.0,https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6,47.0,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",82.0
Ta?ko (feat. Mez),24,12/30/2020,Smack,https://open.spotify.com/track/0e1g6rvySDvxJzhHdAviQq,Czech Republic,top200,NEW_ENTRY,10562,24,0.802,0.712,8.0,-7.625,0.0,0.253,0.0545,0.0,0.0885,0.221,138.116,229565.0,https://open.spotify.com/artist/7pbijUBmXdie5ChABSM4F7,20.0,"['czech hip hop', 'czsk hip hop']",52.0
Tento song,160,11/11/2021,"Miro ?birka, Magdalena Salamounova",https://open.spotify.com/track/04fop0PYkRNTLefodGXqEh,Czech Republic,top200,NEW_ENTRY,5661,160,0.756,0.718,5.0,-8.17,1.0,0.0272,0.201,1.11e-06,0.19,0.792,125.009,179267.0,https://open.spotify.com/artist/38vf1Wys8uNYdbZQwtGpmr,14.0,"['slovak pop', 'slovak punk']",44.0
The Days,170,4/20/2018,Avicii,https://open.spotify.com/track/5Iy2Jj87Ha0C0IBlNE1I4y,Czech Republic,top200,NEW_ENTRY,2170,11,0.59,0.724,0.0,-3.278,1.0,0.0439,0.04,4.07e-05,0.142,0.526,127.059,278480.0,https://open.spotify.com/artist/1vCWHaC5f2uS3yhpwWbIA6,67.0,"['dance pop', 'edm', 'pop', 'pop dance', 'pop rap']",82.0
The Heart Part 4,60,3/24/2017,Kendrick Lamar,https://open.spotify.com/track/1zayuwd1YLZsYDArkruHdL,Czech Republic,top200,NEW_ENTRY,2873,60,0.669,0.434,9.0,-15.218,0.0,0.714,0.501,0.000125,0.271,0.55,129.326,288555.0,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,48.0,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",90.0
There's Nothing Holdin' Me Back - NOTD Remix,141,5/12/2017,Shawn Mendes,https://open.spotify.com/track/5ETXBavoEIZcPVIVjeMP1E,Czech Republic,top200,NEW_ENTRY,1487,141,0.734,0.679,11.0,-4.589,0.0,0.046,0.0591,0.0,0.0872,0.751,122.046,194320.0,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr,0.0,"['canadian pop', 'dance pop', 'pop', 'viral pop']",85.0
Thing For You (With Martin Solveig),57,7/12/2019,David Guetta,https://open.spotify.com/track/0IhTEIjFaRt3B2NQYf9azQ,Czech Republic,top200,NEW_ENTRY,6299,57,0.774,0.723,2.0,-5.545,1.0,0.0496,0.0395,1.82e-05,0.1,0.769,121.057,191399.0,https://open.spotify.com/artist/1Cs0zKBU1kc0i8ypK3B9ai,49.0,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",89.0
"Thotiana (feat. Cardi B, YG) [Remix]",179,3/3/2019,Blueface,https://open.spotify.com/track/1JkrD47SDpAbyvqKtolcea,Czech Republic,top200,NEW_ENTRY,2312,115,0.911,0.721,10.0,-4.833,0.0,0.28,0.0364,0.0,0.111,0.69,104.11,297546.0,https://open.spotify.com/artist/3Fl1V19tmjt57oBdxXKAjJ,0.0,"['cali rap', 'trap']",69.0
Tusa,191,1/21/2020,"KAROL G, Nicki Minaj",https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,Czech Republic,top200,NEW_ENTRY,3617,136,0.803,0.715,2.0,-3.28,1.0,0.298,0.295,0.000134,0.0574,0.574,101.085,200960.0,https://open.spotify.com/artist/790FomKkXshlbRYZFtlgla,77.0,"['reggaeton', 'reggaeton colombiano', 'urbano latino']",93.0
U Betlema Dnes Maria,172,12/24/2019,Bambini Di Praga,https://open.spotify.com/track/3bgHnoWGHiDPEQUxhnc48R,Czech Republic,top200,NEW_ENTRY,6829,172,0.782,0.253,2.0,-15.992,1.0,0.0342,0.912,5.48e-05,0.116,0.741,103.702,143533.0,https://open.spotify.com/artist/57ainBZxHsxXx7fkOjEeeH,9.0,"['classic czech pop', 'czech folk', 'detske pisnicky']",28.0
Uk??u Ti Jak,16,4/30/2018,"Yzomandias, Dark Side",https://open.spotify.com/track/5PWzxlxfeowsA6QaNUQhVZ,Czech Republic,top200,NEW_ENTRY,9516,16,0.619,0.555,11.0,-10.837,0.0,0.276,0.209,0.0,0.31,0.438,168.115,189611.0,https://open.spotify.com/artist/721o1Z0J6jQupyzLt9RnEk,0.0,"['czech drill', 'czech hip hop', 'czsk hip hop']",63.0
Up The Creek,172,8/11/2017,Tori Amos,https://open.spotify.com/track/5eSzUVM0zDEe7TSeXU8qY5,Czech Republic,top200,NEW_ENTRY,1418,172,0.611,0.714,0.0,-10.045,1.0,0.0369,0.824,0.45,0.234,0.788,93.01,202467.0,https://open.spotify.com/artist/1KsASRNugxU85T0u6zSg32,0.0,"['dark pop', 'ectofolk', 'lilith', 'melancholia', 'new wave pop', 'permanent wave', 'piano rock', 'pop rock', 'singer-songwriter']",57.0
