title,rank,date,artist,url,region,chart,trend,streams,min_rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,artist_url,track_popularity,artist_genres,artist_popularity
Mi Culpa,32,1/3/2020,Princesa Alba,https://open.spotify.com/track/6US3sBxFujqlBEgeuzPZt6,Chile,top200,NEW_ENTRY,92207,32,0.827,0.572,0.0,-5.745,0.0,0.0835,0.429,0.0117,0.114,0.66,103.006,160697.0,https://open.spotify.com/artist/3hvDAraTidCTjQHIc4m8P3,39.0,"['chilean indie', 'trap chileno']",53.0
Mi Error,184,2/14/2019,"Eladio Carrion, Zion",https://open.spotify.com/track/7ch7IMYm9DaujSfI1ToSzu,Chile,top200,NEW_ENTRY,20945,140,0.565,0.629,7.0,-5.516,1.0,0.0595,0.37,0.0,0.217,0.344,167.961,215133.0,https://open.spotify.com/artist/5XJDexmWFLWOkjOEjOVX3e,51.0,"['trap boricua', 'trap latino', 'trap triste', 'urbano latino']",88.0
Millones,104,3/5/2021,Camilo,https://open.spotify.com/track/3YAnNBdk0uHyakXXzMbNJq,Chile,top200,NEW_ENTRY,38573,104,0.791,0.649,10.0,-2.312,1.0,0.276,0.0624,0.0,0.184,0.951,190.087,221749.0,https://open.spotify.com/artist/28gNT5KBp7IjEOQoevXf9N,69.0,"['colombian pop', 'latin pop', 'reggaeton colombiano']",80.0
Ni Gucci Ni Prada,186,10/10/2018,Kenny Man,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ,Chile,top200,NEW_ENTRY,18255,59,0.799,0.676,2.0,-5.644,1.0,0.169,0.41,0.000777,0.325,0.91,104.956,175200.0,https://open.spotify.com/artist/6SGvRyZuaSuWmP6IWUKpGf,60.0,['panamanian pop'],50.0
"Nicky Jam: Bzrp Music Sessions, Vol. 41",107,6/30/2021,"Bizarrap, Nicky Jam",https://open.spotify.com/track/03LfOYi0icz4souspZVVhq,Chile,top200,NEW_ENTRY,34199,5,0.627,0.849,1.0,-3.167,0.0,0.153,0.0913,0.0,0.145,0.818,89.907,158087.0,https://open.spotify.com/artist/716NhGYqD1jl2wI1Qkgq36,70.0,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",88.0
No Te Hagas la Loca,179,4/12/2019,"Noriel, Manuel Turizo",https://open.spotify.com/track/4NGbpyKrKMlJX4kP8iTQFJ,Chile,top200,NEW_ENTRY,25229,77,0.775,0.666,2.0,-5.557,1.0,0.0878,0.0379,0.000806,0.083,0.659,91.001,240000.0,https://open.spotify.com/artist/3RtNN1VnooWEn3KQk03DUL,48.0,"['latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",75.0
Nothing Else Matters,198,4/3/2017,Metallica,https://open.spotify.com/track/1znPMY3zq78mVuTAmOA9O7,Chile,top200,NEW_ENTRY,8750,198,0.553,0.362,4.0,-11.218,0.0,0.0263,0.0458,6.01e-06,0.075,0.158,142.352,388267.0,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,0.0,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",84.0
Nunca me Faltes,196,1/1/2018,Antonio Rios,https://open.spotify.com/track/3YCcsuRdJArE4rsAG5V3sW,Chile,top200,NEW_ENTRY,15532,196,0.767,0.702,4.0,-5.952,0.0,0.0316,0.157,9.07e-05,0.0633,0.869,104.619,250760.0,https://open.spotify.com/artist/7s652lD4v77szrPEfgMTBi,49.0,"['chicha', 'cumbia chilena', 'cumbia villera']",52.0
PIN PIN,71,4/23/2021,Myke Towers,https://open.spotify.com/track/51tMYALx6Lkrte41DoWIPq,Chile,top200,NEW_ENTRY,47109,71,0.77,0.759,2.0,-5.749,1.0,0.0535,0.0328,0.0276,0.145,0.372,90.782,159572.0,https://open.spotify.com/artist/7iK8PXO48WeuP03g8YR51W,58.0,"['reggaeton', 'trap latino', 'urbano latino']",89.0
Pegate - Remix,99,10/15/2020,"Mora, Jhay Cortez",https://open.spotify.com/track/7C2RvtNZvxPdol2JXAdxVK,Chile,top200,NEW_ENTRY,40480,80,0.695,0.624,0.0,-4.364,1.0,0.205,0.0208,0.0,0.057,0.446,186.13,204587.0,https://open.spotify.com/artist/0Q8NcsJwoCbZOHHW63su5S,54.0,"['trap latino', 'urbano latino']",84.0
