title,rank,date,artist,url,region,chart,trend,streams,min_rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,artist_url,track_popularity,artist_genres,artist_popularity
Genius - Lil Wayne Remix,193,1/18/2019,"Sia, Diplo, Labrinth, LSD",https://open.spotify.com/track/0yjJ3it84L5Uq6fCCO7C9t,Sweden,top200,NEW_ENTRY,20907,193,0.658,0.783,11.0,-3.381,0.0,0.194,0.0143,0.000181,0.0543,0.745,159.049,162920.0,https://open.spotify.com/artist/5WUlDfRSoLAfcVSX1WnrxN,0.0,"['australian dance', 'australian pop', 'dance pop', 'pop']",85.0
Get Dripped (feat. Playboi Carti),163,10/19/2018,Lil Yachty,https://open.spotify.com/track/3m2aDCqn8eT5ElXDUiboGU,Sweden,top200,NEW_ENTRY,22373,163,0.95,0.489,8.0,-8.411,1.0,0.462,0.105,0.0,0.411,0.919,130.021,158769.0,https://open.spotify.com/artist/6icQOAFXDZKsumw3YXyusw,63.0,"['atl hip hop', 'melodic rap', 'rap', 'trap']",79.0
Ghostbusters,194,10/28/2017,Ray Parker Jr.,https://open.spotify.com/track/5PIB8aoUJoCRh1O5TEGdOj,Sweden,top200,NEW_ENTRY,17261,194,0.779,0.717,6.0,-9.7,0.0,0.0335,0.0125,0.0536,0.355,0.789,115.384,240800.0,https://open.spotify.com/artist/0NyzfcGDZZ6GM25EBG9BYK,28.0,['disco'],54.0
Good Day (feat. DJ Snake & Elliphant),70,2/24/2017,Yellow Claw,https://open.spotify.com/track/2AmjhQbiL663mGtaVDB6Jx,Sweden,top200,NEW_ENTRY,36036,70,0.646,0.748,9.0,-5.469,0.0,0.0389,0.009,0.0,0.283,0.136,103.996,228342.0,https://open.spotify.com/artist/47z7ZrgFoBvVpCnElCE3Zh,0.0,"['bass trap', 'edm', 'electro house', 'electronic trap', 'pop dance']",65.0
Good To Goodbye (feat. Clara Mae),162,1/8/2021,Christopher,https://open.spotify.com/track/04YCVAIGdCqquDHPnRkqC4,Sweden,top200,NEW_ENTRY,20348,162,0.747,0.443,4.0,-7.307,1.0,0.0392,0.116,0.0,0.357,0.399,120.12,184107.0,https://open.spotify.com/artist/3zDRCqOhJXJfS2YWOEwGMC,40.0,['danish pop'],59.0
Grow,169,5/10/2019,"Joakim Lundell, Tom Noah",https://open.spotify.com/track/6B1iDt4SJmWFUeC61V4W7S,Sweden,top200,NEW_ENTRY,24648,169,0.521,0.607,7.0,-6.01,1.0,0.0312,0.298,0.0,0.124,0.33,80.027,207375.0,https://open.spotify.com/artist/0XNvr6bnNywV946ZKaJtr0,42.0,['swedish pop'],47.0
Gul och bl?,166,6/11/2021,"Kuselofte, Ringnes-Ronny",https://open.spotify.com/track/6vhIMQQrl4dLKrOJT5BXSd,Sweden,top200,NEW_ENTRY,27366,126,0.66,0.753,1.0,-4.515,0.0,0.0583,0.25,0.0,0.637,0.664,122.04,159802.0,https://open.spotify.com/artist/5nIPWm5XA6Cy6zVYkjpCe2,43.0,['russelater'],57.0
HABIBI,175,7/26/2020,Rozh,https://open.spotify.com/track/5Jx5Objcyw9bc5AiBNHBcy,Sweden,top200,NEW_ENTRY,17403,70,0.492,0.493,8.0,-10.649,0.0,0.369,0.423,0.0,0.119,0.362,142.532,190000.0,https://open.spotify.com/artist/3SRes7eoE3xRodLopFKXWb,44.0,"['swedish drill', 'swedish gangsta rap', 'swedish hip hop', 'swedish trap', 'swedish trap pop']",42.0
HELA LIVET,134,5/14/2021,ADAAM,https://open.spotify.com/track/6v2qG89AAcDER2QbUybdT0,Sweden,top200,NEW_ENTRY,25802,134,0.787,0.631,0.0,-5.801,0.0,0.0916,0.385,1.75e-05,0.105,0.572,168.08,172615.0,https://open.spotify.com/artist/7zLm9op6LgPqKL62d1FzhO,24.0,"['swedish hip hop', 'swedish trap pop']",59.0
Halley's Comet,67,7/30/2021,Billie Eilish,https://open.spotify.com/track/5XsAal7ZcWg1I5T4NcRjkv,Sweden,top200,NEW_ENTRY,32162,56,0.403,0.159,1.0,-16.728,0.0,0.104,0.961,0.0121,0.34,0.0381,72.38,234761.0,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,75.0,"['art pop', 'electropop', 'pop']",89.0
