title,rank,date,artist,url,region,chart,trend,streams,min_rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,artist_url,track_popularity,artist_genres,artist_popularity
Million Reasons,150,1/1/2017,Lady Gaga,https://open.spotify.com/track/50PWlIBU7PlGGwzgN8TiFJ,Ireland,top200,NEW_ENTRY,2403,71,0.668,0.449,0.0,-7.897,1.0,0.0451,0.477,0.0,0.107,0.154,129.889,205280.0,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms,0.0,"['art pop', 'dance pop', 'pop']",87.0
Money Trees,168,2/7/2018,"Kendrick Lamar, Jay Rock",https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4,Ireland,top200,NEW_ENTRY,4533,168,0.716,0.531,7.0,-7.355,1.0,0.122,0.0703,0.0,0.224,0.344,71.994,386907.0,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,81.0,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",90.0
My Head Is A Jungle - MK Remix (Radio Edit),191,2/23/2017,"Wankelmut, Emma Louise",https://open.spotify.com/track/1TTA7bGhAvP3axLIyasZ8Y,Ireland,top200,NEW_ENTRY,3133,125,0.683,0.789,7.0,-6.672,0.0,0.0355,0.0864,0.00419,0.253,0.456,124.023,207253.0,https://open.spotify.com/artist/01e2lCvLZ4fLUIRy68nptH,0.0,"['deep euro house', 'tropical house']",58.0
Nice For What,8,4/7/2018,Drake,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN,Ireland,top200,NEW_ENTRY,32119,1,0.567,0.913,8.0,-6.471,1.0,0.0736,0.0934,0.000124,0.114,0.792,93.35,210926.0,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,7.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",97.0
No Friends In The Industry,13,9/3/2021,Drake,https://open.spotify.com/track/2tUL6dZf1mywCj5WvCPZw6,Ireland,top200,NEW_ENTRY,44935,13,0.84,0.744,1.0,-4.751,1.0,0.113,0.0181,0.0,0.629,0.171,83.737,204347.0,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,73.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",97.0
Nothing Else Matters,180,6/7/2019,Metallica,https://open.spotify.com/track/0nLiqZ6A27jJri2VCalIUs,Ireland,top200,NEW_ENTRY,5753,97,0.553,0.362,4.0,-11.218,0.0,0.0263,0.0458,6.01e-06,0.075,0.158,142.352,388267.0,https://open.spotify.com/artist/2ye2Wgw4gimLv2eAKyk1NB,80.0,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",84.0
On God,33,10/25/2019,Kanye West,https://open.spotify.com/track/2SasoXZyv82yYgHiVOvxQn,Ireland,top200,NEW_ENTRY,23138,22,0.41,0.886,9.0,-4.413,0.0,0.155,0.0671,0.0,0.461,0.393,72.577,136351.0,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,60.0,"['chicago rap', 'rap']",91.0
On The Floor - Radio Edit,176,9/14/2017,"Jennifer Lopez, Pitbull",https://open.spotify.com/track/7Hv89f7Dpm5Hce1XkBbjQZ,Ireland,top200,NEW_ENTRY,3447,176,0.765,0.68,11.0,-6.306,1.0,0.0932,0.0953,0.0009,0.138,0.462,129.998,230907.0,https://open.spotify.com/artist/2DlGxzQSjYe5N6G9nkYghR,0.0,"['dance pop', 'pop', 'pop rap', 'urban contemporary']",77.0
One Day At A Time,99,11/3/2017,Sam Smith,https://open.spotify.com/track/6AUuRg513AfT50d52O60fS,Ireland,top200,NEW_ENTRY,6491,97,0.502,0.32,1.0,-7.95,1.0,0.0342,0.775,0.0,0.113,0.337,129.356,209380.0,https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI,53.0,"['pop', 'uk pop']",88.0
One Second (feat. H.E.R.),75,12/13/2019,Stormzy,https://open.spotify.com/track/2DdI0KRBuxV5Km0bkm67yh,Ireland,top200,NEW_ENTRY,16904,75,0.495,0.497,5.0,-8.367,0.0,0.0847,0.457,6.55e-05,0.115,0.259,125.075,240893.0,https://open.spotify.com/artist/2SrSdSvpminqmStGELCSNd,58.0,"['grime', 'uk hip hop']",74.0
Papi?? Home,4,9/3/2021,Drake,https://open.spotify.com/track/6jy9yJfgCsMHdu2Oz4BGKX,Ireland,top200,NEW_ENTRY,70931,4,0.701,0.741,2.0,-6.157,1.0,0.313,0.112,0.0,0.699,0.588,140.177,178623.0,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,68.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",97.0
Particular Taste,63,5/25/2018,Shawn Mendes,https://open.spotify.com/track/1mmAqhLcvPrknbslMiDlyU,Ireland,top200,NEW_ENTRY,9219,63,0.967,0.352,9.0,-7.122,1.0,0.122,0.0378,0.000121,0.0676,0.612,111.982,175573.0,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr,0.0,"['canadian pop', 'dance pop', 'pop', 'viral pop']",85.0
Party In The U.S.A.,182,1/13/2017,Miley Cyrus,https://open.spotify.com/track/5Q0Nhxo0l2bP3pNjpGJwV1,Ireland,top200,NEW_ENTRY,3084,109,0.652,0.698,10.0,-4.667,0.0,0.042,0.00112,0.000115,0.0886,0.47,96.021,202067.0,https://open.spotify.com/artist/5YGY8feqx7naU7z4HrwZM6,77.0,['pop'],92.0
Patience (feat. YUNGBLUD & Polo G),5,3/12/2021,KSI,https://open.spotify.com/track/5J5CpT6bgE6KYKk23jgp9W,Ireland,top200,NEW_ENTRY,35312,5,0.616,0.741,7.0,-4.272,0.0,0.0426,0.00251,0.0,0.307,0.431,122.012,181720.0,https://open.spotify.com/artist/1nzgtKYFckznkcVMR3Gg4z,57.0,"['social media pop', 'uk hip hop']",68.0
Peak,39,6/29/2018,Drake,https://open.spotify.com/track/2RAeY8dPj6KmStROfEigjV,Ireland,top200,NEW_ENTRY,25447,39,0.689,0.217,9.0,-13.539,0.0,0.0387,0.847,0.000123,0.106,0.272,92.007,206027.0,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,0.0,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",97.0
Personal,97,10/13/2017,"The Vamps, Maggie Lindemann",https://open.spotify.com/track/5kflnIKOUU6aLXkVXmJ6iK,Ireland,top200,NEW_ENTRY,5842,97,0.522,0.697,0.0,-3.494,1.0,0.102,0.0658,0.0,0.1,0.447,100.001,193200.0,https://open.spotify.com/artist/7gAppWoH7pcYmphCVTXkzs,0.0,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'social media pop']",69.0
Play,128,11/30/2018,"Jax Jones, Years & Years",https://open.spotify.com/track/29R1IMTTbDDA3VNlk6UEW5,Ireland,top200,NEW_ENTRY,7448,19,0.771,0.768,11.0,-7.773,0.0,0.0451,0.0266,1.26e-05,0.426,0.607,125.023,186240.0,https://open.spotify.com/artist/4Q6nIcaBED8qUel8bBx6Cr,50.0,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'pop rap', 'tropical house', 'uk dance']",75.0
Please Don't Go,113,3/21/2021,Mike Posner,https://open.spotify.com/track/3wkKkFAtYSTRwqOydW6T0I,Ireland,top200,NEW_ENTRY,7481,92,0.698,0.879,4.0,-3.928,0.0,0.0306,0.00236,0.119,0.129,0.645,120.018,196813.0,https://open.spotify.com/artist/2KsP6tYLJlTBvSUxnwlVWa,40.0,"['dance pop', 'edm', 'pop', 'pop rap']",71.0
Plug Walk,170,3/16/2018,Rich The Kid,https://open.spotify.com/track/0gD6lWJhbXHWNVwQziSVvl,Ireland,top200,NEW_ENTRY,4803,56,0.882,0.503,11.0,-6.618,1.0,0.179,0.224,0.0,0.108,0.176,95.011,175511.0,https://open.spotify.com/artist/1pPmIToKXyGdsCF6LmqLmI,0.0,"['atl hip hop', 'hip hop', 'melodic rap', 'plugg', 'pop rap', 'rap', 'southern hip hop', 'trap', 'vapor trap']",71.0
Plum,81,8/31/2018,Troye Sivan,https://open.spotify.com/track/4FtGhkcEHma8WjuzFYSr2o,Ireland,top200,NEW_ENTRY,7573,81,0.693,0.594,6.0,-7.323,0.0,0.0469,0.0123,6.25e-05,0.0764,0.565,96.973,185977.0,https://open.spotify.com/artist/3WGpXCj9YhhfX11TToZcXP,0.0,"['australian pop', 'dance pop', 'pop', 'viral pop']",76.0
Pretty Girl - Cheat Codes X CADE Remix,187,4/1/2017,Maggie Lindemann,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR,Ireland,top200,NEW_ENTRY,3291,4,0.703,0.868,7.0,-4.661,0.0,0.0291,0.15,0.132,0.104,0.733,121.03,193613.0,https://open.spotify.com/artist/0uGk2czvcpWQA383Im6ajf,68.0,"['alt z', 'dark pop', 'pop', 'pop punk', 'post-teen pop', 'social media pop']",65.0
Pretty Savage,132,10/2/2020,BLACKPINK,https://open.spotify.com/track/1XnpzbOGptRwfJhZgLbmSr,Ireland,top200,NEW_ENTRY,6999,132,0.701,0.556,9.0,-7.42,0.0,0.0414,0.00886,0.000122,0.106,0.333,152.045,201122.0,https://open.spotify.com/artist/41MozSoPIsD1dJM0CLPjZF,73.0,"['k-pop', 'k-pop girl group']",87.0
Prices,95,3/6/2020,Lil Uzi Vert,https://open.spotify.com/track/4YcWzLSnGqLjSCycuSMHnn,Ireland,top200,NEW_ENTRY,9497,88,0.786,0.683,7.0,-5.397,1.0,0.205,0.173,0.0,0.706,0.57,126.002,233333.0,https://open.spotify.com/artist/4O15NlyKLIASxsJ0PrXPfz,64.0,"['melodic rap', 'philly rap', 'rap', 'trap']",88.0
Primadonna,171,2/28/2019,MARINA,https://open.spotify.com/track/02b5L9jExmkRTdUTqXFzmR,Ireland,top200,NEW_ENTRY,5585,171,0.66,0.689,4.0,-2.671,0.0,0.0337,0.0884,0.0,0.0922,0.427,127.98,221075.0,https://open.spotify.com/artist/6CwfuxIqcltXDGjfZsMd9A,49.0,"['dance pop', 'electropop', 'metropopolis', 'pop', 'uk alternative pop']",75.0
Raise Your Glass,152,9/1/2017,P!nk,https://open.spotify.com/track/12lZTPlXwUtrQuhEty6098,Ireland,top200,NEW_ENTRY,4039,133,0.7,0.695,7.0,-4.973,1.0,0.0897,0.00629,0.0,0.0319,0.633,122.028,203333.0,https://open.spotify.com/artist/1KCSPY1glIKqW2TotWuXOR,0.0,"['dance pop', 'pop']",84.0
