title,rank,date,artist,url,region,chart,trend,streams,min_rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,artist_url,track_popularity,artist_genres,artist_popularity
23 (With Ape Drums),157,10/22/2021,Randy,https://open.spotify.com/track/4vv8wcnT04GHHbUCFBAiHF,Argentina,top200,NEW_ENTRY,37919,76,0.828,0.724,6.0,-3.555,0.0,0.0715,0.0424,1.68e-06,0.468,0.896,96.058,167504.0,https://open.spotify.com/artist/7qYeIN2r4H1kBvr0Gm9Iav,67.0,"['latin hip hop', 'perreo', 'reggaeton', 'reggaeton flow', 'urbano latino']",67.0
24K,116,9/9/2019,"Frijo, Santoz, Duki",https://open.spotify.com/track/1sbxPVKNi6OLUdTHRrbd5A,Argentina,top200,NEW_ENTRY,31528,108,0.81,0.833,1.0,-6.832,1.0,0.125,0.253,0.00576,0.216,0.907,138.955,123808.0,https://open.spotify.com/artist/4D2d63igYEdzhzFnxrSow7,60.0,"['argentine hip hop', 'trap argentino']",57.0
4:00 AM,193,2/23/2018,Trueno,https://open.spotify.com/track/2rN6ZDtVTPflMgfJdehkKO,Argentina,top200,NEW_ENTRY,16786,193,0.804,0.59,11.0,-8.524,0.0,0.264,0.17,0.0,0.106,0.453,123.947,247339.0,https://open.spotify.com/artist/2x7PC78TmgqpEIjaGAZ0Oz,0.0,"['argentine hip hop', 'bases de freestyle', 'trap argentino']",73.0
Agua (with J Balvin),145,3/5/2021,Tainy,https://open.spotify.com/track/7CtbxAGq2P0jtYh6SH9DMR,Argentina,top200,MOVE_UP,33015,124,0.778,0.651,9.0,-5.421,0.0,0.266,0.167,0.0,0.177,0.569,100.094,159666.0,https://open.spotify.com/artist/0GM7qgcRCORpGnfcN2tCiB,67.0,"['latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",77.0
Ahora mirame,199,7/1/2017,Ulises Bueno,https://open.spotify.com/track/780CrNUSw5RrRWHSOf9sAA,Argentina,top200,NEW_ENTRY,13323,153,0.735,0.917,11.0,-3.962,0.0,0.0389,0.0673,0.0,0.0453,0.811,149.961,274213.0,https://open.spotify.com/artist/2UqRkW2wfEkZmyvKyTTv2W,0.0,['cuarteto'],61.0
All The Stars (with SZA),190,2/9/2018,Kendrick Lamar,https://open.spotify.com/track/2Imq77E6CEJR5TPUxlJvTY,Argentina,top200,NEW_ENTRY,16524,124,0.532,0.642,5.0,-4.891,0.0,0.111,0.0548,0.000246,0.0991,0.536,193.016,232187.0,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,0.0,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",90.0
All of Me,193,2/6/2017,John Legend,https://open.spotify.com/track/2q6tgiA9tpb6DMguABwCWE,Argentina,top200,NEW_ENTRY,11296,89,0.422,0.264,8.0,-7.064,1.0,0.0322,0.922,0.0,0.132,0.331,119.93,269560.0,https://open.spotify.com/artist/5y2Xq6xcjJb2jVM54GHK3t,0.0,"['neo mellow', 'neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']",78.0
Alone,190,1/30/2017,Alan Walker,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,Argentina,top200,NEW_ENTRY,12091,183,0.676,0.929,10.0,-3.194,1.0,0.0458,0.186,0.000405,0.121,0.157,97.019,161200.0,https://open.spotify.com/artist/7vk5e3vY1uw9plTHJAMwjN,62.0,['electro house'],81.0
Another Day in Paradise - 2016 Remaster,188,3/21/2018,Phil Collins,https://open.spotify.com/track/1NCuYqMc8hKMb4cpNTcJbD,Argentina,top200,NEW_ENTRY,15307,188,0.78,0.565,3.0,-7.32,0.0,0.0306,0.736,0.00269,0.063,0.365,101.967,322133.0,https://open.spotify.com/artist/4lxfqrEsLX6N1N4OCSkILp,74.0,"['mellow gold', 'rock drums', 'soft rock']",77.0
"Asan: Bzrp Music Sessions, Vol. 35",69,11/12/2020,"Bizarrap, Asan",https://open.spotify.com/track/5ZoYsrmeVPyJI4rhdBBJi1,Argentina,top200,NEW_ENTRY,54640,69,0.68,0.576,8.0,-8.402,1.0,0.0866,0.205,0.0,0.109,0.507,164.978,154182.0,https://open.spotify.com/artist/716NhGYqD1jl2wI1Qkgq36,9.0,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",88.0
Babylon,84,5/29/2020,Lady Gaga,https://open.spotify.com/track/5DttNeiizFqWUON9hZBqTY,Argentina,top200,NEW_ENTRY,44239,84,0.698,0.799,2.0,-4.372,1.0,0.0342,0.0129,5.46e-06,0.215,0.351,115.957,161733.0,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms,59.0,"['art pop', 'dance pop', 'pop']",87.0
Be Yourself,124,5/18/2017,Audioslave,https://open.spotify.com/track/7r9ZTgy31yObGZE6ZYDlQg,Argentina,top200,NEW_ENTRY,15916,124,0.423,0.845,11.0,-3.509,0.0,0.0559,0.143,5.07e-06,0.213,0.317,116.602,278973.0,https://open.spotify.com/artist/2ziB7fzrXBoh1HUPS6sVFn,0.0,"['alternative metal', 'alternative rock', 'nu metal', 'permanent wave', 'post-grunge', 'rock', 'supergroup']",69.0
Beautiful People (feat. Khalid),66,6/28/2019,Ed Sheeran,https://open.spotify.com/track/4evmHXcjt3bTUHD1cvny97,Argentina,top200,NEW_ENTRY,42247,42,0.64,0.648,5.0,-8.113,0.0,0.187,0.124,0.0,0.0802,0.548,92.977,197867.0,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V,74.0,"['pop', 'uk pop']",92.0
Believer,198,2/3/2017,Imagine Dragons,https://open.spotify.com/track/0CcQNd8CINkwQfe1RDtGV6,Argentina,top200,NEW_ENTRY,12663,68,0.779,0.787,10.0,-4.305,0.0,0.108,0.0524,0.0,0.14,0.708,124.982,204347.0,https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q,0.0,"['modern rock', 'rock']",89.0
Bellaquitax,191,1/1/2020,Fer Palacio,https://open.spotify.com/track/1gxhinzVG2R4wR6iP0XFxr,Argentina,top200,NEW_ENTRY,36642,167,0.696,0.849,5.0,-6.074,0.0,0.224,0.212,0.000343,0.028,0.908,200.225,163212.0,https://open.spotify.com/artist/4frBEXn8nhWzOVwfCSpuYB,0.0,"['cumbia pop', 'pop argentino', 'previa', 'rkt']",62.0
Bendici?n,160,10/26/2020,"Emilia, Alex Rose",https://open.spotify.com/track/54LxLkCDvShuYKRtTUQ2G4,Argentina,top200,NEW_ENTRY,29391,54,0.785,0.594,5.0,-5.246,1.0,0.16,0.253,1.74e-05,0.0955,0.721,175.928,185988.0,https://open.spotify.com/artist/0AqlFI0tz2DsEoJlKSIiT9,48.0,['pop argentino'],75.0
Blow Your Mind (Mwah),198,10/30/2017,Dua Lipa,https://open.spotify.com/track/2eAAEa8pxKF7My0EO4rFgR,Argentina,top200,NEW_ENTRY,13510,84,0.654,0.796,2.0,-4.761,0.0,0.122,0.0188,0.0,0.0948,0.491,108.854,178583.0,https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we,65.0,"['dance pop', 'pop', 'uk pop']",88.0
Borracho,200,11/27/2021,"Sech, DJ Khaled",https://open.spotify.com/track/0rsTDgGRlXKuzSAxcdb4Ns,Argentina,top200,NEW_ENTRY,35761,130,0.787,0.748,8.0,-3.752,0.0,0.0797,0.571,0.0,0.214,0.703,93.006,219750.0,https://open.spotify.com/artist/77ziqFxp5gaInVrF2lj4ht,63.0,"['panamanian pop', 'reggaeton', 'urbano latino']",83.0
Boys Will Be Boys,108,3/27/2020,Dua Lipa,https://open.spotify.com/track/0vQcyuMEfRBd21ojZ62N2L,Argentina,top200,NEW_ENTRY,36342,108,0.768,0.486,3.0,-5.954,1.0,0.0353,0.408,0.0,0.098,0.519,125.021,166266.0,https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we,61.0,"['dance pop', 'pop', 'uk pop']",88.0
Cien A?os,159,1/25/2019,Abel Pintos,https://open.spotify.com/track/1HroyPv5zqHJI35kqObRLy,Argentina,top200,NEW_ENTRY,21715,75,0.424,0.614,4.0,-6.719,0.0,0.0319,0.15,0.0,0.338,0.386,144.283,280695.0,https://open.spotify.com/artist/6HTUcOExehqydqa7C3usAa,49.0,"['argentine rock', 'argentine telepop', 'folklore argentino', 'pop argentino']",68.0
Culpable O No - Mi?nteme Como Siempre,187,6/25/2018,Luis Miguel,https://open.spotify.com/track/7BwxbmYFy0l3ROHDjV2c14,Argentina,top200,NEW_ENTRY,13010,51,0.54,0.367,0.0,-14.238,1.0,0.0277,0.0367,0.0,0.0433,0.252,70.276,237240.0,https://open.spotify.com/artist/2nszmSgqreHSdJA3zWPyrW,74.0,"['bolero', 'latin pop']",83.0
C?mo D?melo,93,11/8/2019,"Nicki Nicole, Cazzu",https://open.spotify.com/track/6Sf5gfWy6LzGR9H78Gu4Ss,Argentina,top200,NEW_ENTRY,53099,75,0.731,0.563,5.0,-8.372,0.0,0.0431,0.228,0.000167,0.196,0.506,138.055,200000.0,https://open.spotify.com/artist/2UZIAOlrnyZmyzt1nuXr9y,0.0,"['argentine hip hop', 'r&b argentino', 'trap argentino']",81.0
D.R.A.M.A,185,5/15/2018,Midel,https://open.spotify.com/track/45tZh0QWAhOXjV24p8iu7H,Argentina,top200,NEW_ENTRY,15494,145,0.796,0.307,8.0,-13.059,0.0,0.0787,0.199,0.0,0.14,0.208,109.984,141557.0,https://open.spotify.com/artist/4EcIU574ksr6mC1GMEOe0p,0.0,"['argentine hip hop', 'trap argentino']",53.0
Darte Remix,195,10/10/2018,"Alex Rose, Casper Magico, ?engo Flow, Bryant Myers, Noriel, Juhn Allstar, Miky Woodz, Jhay Cortez, Myke Towers",https://open.spotify.com/track/6xqbec9MHRmW7qtEINAlRx,Argentina,top200,NEW_ENTRY,18334,184,0.81,0.631,4.0,-6.541,0.0,0.0938,0.144,1.32e-06,0.451,0.573,154.976,512093.0,https://open.spotify.com/artist/2DspEsT7UXGKd2VaaedgG4,0.0,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino']",70.0
Destino,196,5/17/2019,"Greeicy, Nacho",https://open.spotify.com/track/041Kcvnw8nOdq8xiRibPTG,Argentina,top200,NEW_ENTRY,20382,196,0.701,0.767,0.0,-3.055,1.0,0.0746,0.0135,7.29e-06,0.0612,0.695,188.085,180480.0,https://open.spotify.com/artist/5dbaLmK5SHLLg8Z4CcTJpX,70.0,"['colombian pop', 'latin pop', 'r&b en espanol', 'reggaeton', 'reggaeton colombiano', 'urbano latino']",70.0
Detenido,165,9/6/2019,"Peke?o 77, Homer El Mero Mero",https://open.spotify.com/track/5W6445TK7A4ZU0WR6iGKZz,Argentina,top200,NEW_ENTRY,28831,87,0.769,0.867,0.0,-2.809,1.0,0.166,0.386,0.0,0.125,0.688,130.165,140212.0,https://open.spotify.com/artist/5X44X8XO690gSbgB4OHaTl,0.0,[],0.0
Dime Cuantas Veces (Remix) [feat. Justin Quiles],197,6/26/2020,"Micro TDH, Rels B, Lenny Tav?rez",https://open.spotify.com/track/4MWb6mltydQn84NrTm7Gpl,Argentina,top200,NEW_ENTRY,23843,79,0.911,0.632,1.0,-2.94,1.0,0.118,0.201,9.26e-06,0.0791,0.832,99.988,207249.0,https://open.spotify.com/artist/1aWJsBQa67l72j1VT3D6Ow,59.0,"['trap venezolano', 'urbano latino', 'venezuelan hip hop']",70.0
Diosa - Remix,198,10/29/2020,"Myke Towers, Anuel AA, Natti Natasha",https://open.spotify.com/track/1kIWef5hc2uAqkNxOTakzP,Argentina,top200,NEW_ENTRY,26124,103,0.764,0.822,6.0,-3.259,0.0,0.0489,0.279,8.44e-05,0.159,0.224,105.003,259242.0,https://open.spotify.com/artist/7iK8PXO48WeuP03g8YR51W,60.0,"['reggaeton', 'trap latino', 'urbano latino']",89.0
Don't Start Now,88,11/1/2019,Dua Lipa,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,Argentina,top200,NEW_ENTRY,55800,27,0.794,0.793,11.0,-4.521,0.0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290.0,https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we,78.0,"['dance pop', 'pop', 'uk pop']",88.0
Dream,160,12/4/2020,Shawn Mendes,https://open.spotify.com/track/0bZFa5DZcx9HWx25m2Nd19,Argentina,top200,NEW_ENTRY,36879,160,0.492,0.672,2.0,-6.779,1.0,0.0366,0.539,0.000212,0.116,0.229,140.027,214751.0,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr,53.0,"['canadian pop', 'dance pop', 'pop', 'viral pop']",85.0
Eclipse,43,4/26/2019,Lit Killah,https://open.spotify.com/track/6ANR2ylLSFSYcycw8JUnvi,Argentina,top200,NEW_ENTRY,56454,22,0.715,0.691,4.0,-5.405,0.0,0.111,0.413,0.0,0.166,0.381,93.024,208103.0,https://open.spotify.com/artist/1vqR17Iv8VFdzure1TAXEq,54.0,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino']",73.0
El Desorden,182,11/21/2017,"Ozuna, Daddy Yankee, Plan B",https://open.spotify.com/track/0JOUrhZGMCx3lk9VosAQWl,Argentina,top200,NEW_ENTRY,15265,88,0.838,0.81,9.0,-3.175,0.0,0.0891,0.22,1.31e-05,0.0817,0.889,164.04,190244.0,https://open.spotify.com/artist/1i8SpTcr7yvPOmcqrbnVXY,61.0,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",89.0
Ella Quiere Beber - Remix,68,11/2/2018,"Anuel AA, Romeo Santos",https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,Argentina,top200,NEW_ENTRY,39724,14,0.751,0.665,8.0,-3.083,1.0,0.124,0.265,0.0,0.0515,0.698,95.239,219357.0,https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66,0.0,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",89.0
Entre Cuatro Paredes,62,6/14/2019,"Duki, Vicentico, La Bomba de Tiempo",https://open.spotify.com/track/0tsaTSU7uVeP6DK8FEd2xL,Argentina,top200,NEW_ENTRY,49637,43,0.735,0.716,3.0,-4.308,0.0,0.125,0.243,0.0,0.0724,0.435,113.984,150743.0,https://open.spotify.com/artist/1bAftSH8umNcGZ0uyV7LMg,40.0,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino']",85.0
Eso Duele,199,9/18/2021,Banda XXI,https://open.spotify.com/track/6ByFrNuzzj7rNiYnsc0eTd,Argentina,top200,NEW_ENTRY,35971,170,0.771,0.743,1.0,-4.375,0.0,0.0559,0.354,2.74e-06,0.0992,0.864,146.983,232020.0,https://open.spotify.com/artist/4She1focTkX0pwpJUtS5eo,0.0,"['argentine rock', 'cuarteto', 'cumbia pop', 'cumbia villera']",60.0
Friends,105,2/21/2020,BTS,https://open.spotify.com/track/5LCP80MqF8AqHi0WZZGuwJ,Argentina,top200,NEW_ENTRY,42997,105,0.55,0.747,1.0,-5.211,1.0,0.0407,0.0668,0.0,0.0536,0.648,79.98,199339.0,https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX,0.0,"['k-pop', 'k-pop boy group']",91.0
Hearts Don't Break Around Here,73,3/3/2017,Ed Sheeran,https://open.spotify.com/track/2dfHh7ECGxfNqZTQno09Vk,Argentina,top200,NEW_ENTRY,29824,73,0.604,0.366,7.0,-7.881,1.0,0.0267,0.719,0.0,0.162,0.181,105.177,248413.0,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V,63.0,"['pop', 'uk pop']",92.0
Imaginaste - Remix,143,11/15/2019,"Jhay Cortez, Wisin & Yandel",https://open.spotify.com/track/56BAJvpaWgvr6C4wmc37iU,Argentina,top200,NEW_ENTRY,37814,122,0.854,0.712,1.0,-5.325,1.0,0.0945,0.0436,0.0,0.338,0.601,89.975,246653.0,https://open.spotify.com/artist/6nVcHLIgY5pE2YCl8ubca1,27.0,"['reggaeton', 'trap latino', 'urbano latino']",82.0
"John C: Bzrp Music Sessions, Vol. 18",12,11/21/2019,"Bizarrap, John C",https://open.spotify.com/track/08ilexedmUuccTWTeK7Dvb,Argentina,top200,NEW_ENTRY,146812,6,0.698,0.714,11.0,-6.178,1.0,0.367,0.368,0.0,0.0824,0.864,112.856,133692.0,https://open.spotify.com/artist/716NhGYqD1jl2wI1Qkgq36,59.0,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",88.0
La Noche No Es para Dormir,19,1/1/2017,Mano Arriba,https://open.spotify.com/track/3gEebOzxHpEwElicl1XBy0,Argentina,top200,SAME_POSITION,87033,15,0.549,0.798,6.0,-4.185,1.0,0.0705,0.126,0.0,0.329,0.905,100.054,199495.0,https://open.spotify.com/artist/4YBAOrBF9vBB9inOLtpRzp,0.0,['cumbia pop'],44.0
La Old Skul,193,10/12/2021,Rauw Alejandro,https://open.spotify.com/track/6MEBxXI2n3FzPHrGRYFdL8,Argentina,top200,NEW_ENTRY,29746,185,0.795,0.798,9.0,-2.357,0.0,0.08,0.532,1.02e-05,0.0869,0.397,104.912,214857.0,https://open.spotify.com/artist/1mcTU81TzQhprhouKaTkpq,1.0,"['puerto rican pop', 'trap latino', 'urbano latino']",91.0
Ley de Atracci?n,149,9/2/2021,Duki,https://open.spotify.com/track/52PVGjg5sUhfs9PHiSl02c,Argentina,top200,NEW_ENTRY,34952,15,0.776,0.683,9.0,-4.078,1.0,0.0703,0.196,6.41e-05,0.322,0.726,92.014,180248.0,https://open.spotify.com/artist/1bAftSH8umNcGZ0uyV7LMg,58.0,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino']",85.0
