title,rank,date,artist,url,region,chart,trend,streams,min_rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,artist_url,track_popularity,artist_genres,artist_popularity
When I Look At You,119,8/16/2020,Miley Cyrus,https://open.spotify.com/track/6ZfXA2xakAvphXOSOJ3u1W,Sweden,top200,NEW_ENTRY,19462,88,0.459,0.545,6.0,-4.874,1.0,0.0282,0.142,0.0,0.105,0.194,137.941,248587.0,https://open.spotify.com/artist/5YGY8feqx7naU7z4HrwZM6,71.0,['pop'],92.0
Wild Reputation,99,11/13/2020,AC/DC,https://open.spotify.com/track/1ZyQEn0iceHj0Lbt6I6Op3,Sweden,top200,NEW_ENTRY,29514,99,0.737,0.709,0.0,-5.744,1.0,0.0337,0.00012,0.00294,0.199,0.839,108.016,174400.0,https://open.spotify.com/artist/711MCceyCBcFnzjGY4Q7Un,46.0,"['australian rock', 'hard rock', 'rock']",82.0
Wildest Dreams (Taylor's Version),129,9/19/2021,Taylor Swift,https://open.spotify.com/track/1Ov37jtRQ2YNAe8HzfczkL,Sweden,top200,NEW_ENTRY,17738,89,0.583,0.67,8.0,-7.289,1.0,0.0646,0.0374,0.0001,0.126,0.498,140.061,220433.0,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,83.0,['pop'],100.0
Wildflowers,90,10/3/2017,Tom Petty,https://open.spotify.com/track/2Pr1nZpt8A8WP7QYpyq6L3,Sweden,top200,NEW_ENTRY,26963,90,0.537,0.315,5.0,-13.79,1.0,0.0271,0.588,2.29e-05,0.206,0.575,86.813,190320.0,https://open.spotify.com/artist/2UZMlIwnkgAEDBsw1Rejkn,68.0,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'singer-songwriter', 'soft rock']",69.0
Wiley Flow,155,9/20/2019,Stormzy,https://open.spotify.com/track/1Iv4wC88uxeAF7SmQQGx3X,Sweden,top200,NEW_ENTRY,24319,155,0.716,0.68,5.0,-4.721,0.0,0.309,0.241,0.0,0.202,0.475,140.417,207366.0,https://open.spotify.com/artist/2SrSdSvpminqmStGELCSNd,49.0,"['grime', 'uk hip hop']",74.0
Wina Den,103,9/14/2018,"DON V, Remi Young",https://open.spotify.com/track/4UntLd7KHXVRo0LXF3ukA8,Sweden,top200,NEW_ENTRY,29298,103,0.767,0.619,9.0,-7.815,0.0,0.284,0.498,0.0,0.119,0.75,116.152,185380.0,https://open.spotify.com/artist/7MhHajFmXXfVGy9DqdyLdM,19.0,"['swedish hip hop', 'swedish trap pop']",34.0
Wonderful Christmastime - Edited Version / Remastered 2011,120,12/6/2020,Paul McCartney,https://open.spotify.com/track/1SV1fxF65n9NhRHp3KlBuu,Sweden,top200,MOVE_DOWN,33905,66,0.774,0.511,11.0,-8.914,1.0,0.0319,0.322,0.0,0.0672,0.771,94.736,227653.0,https://open.spotify.com/artist/4STHEaNw4mPZ2tzheohgXB,60.0,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock']",71.0
Workin,21,5/22/2020,Yasin,https://open.spotify.com/track/67ttkEO235xJmxhQ9tOM1t,Sweden,top200,MOVE_DOWN,79202,8,0.922,0.635,6.0,-4.366,0.0,0.0587,0.135,0.000344,0.118,0.107,105.017,141714.0,https://open.spotify.com/artist/6rYEqmajzlhGVaayOJ2bpJ,54.0,"['swedish gangsta rap', 'swedish hip hop', 'swedish trap', 'swedish trap pop']",70.0
Yodel it!,108,5/13/2017,"Ilinca, Alex Florea",https://open.spotify.com/track/2GdIKPluDT6hT3xBxxKiUK,Sweden,top200,NEW_ENTRY,27651,46,0.521,0.918,10.0,-4.517,1.0,0.123,0.00566,0.0,0.11,0.755,86.954,176261.0,https://open.spotify.com/artist/64PgkSM1uDD9BJEg0UkMMM,0.0,[],21.0
You,184,1/8/2018,Farida,https://open.spotify.com/track/6alM0C4vVeMOSSOwkZjoWy,Sweden,top200,NEW_ENTRY,15663,184,0.513,0.325,8.0,-12.879,1.0,0.0703,0.19,0.000142,0.0853,0.268,172.131,190852.0,https://open.spotify.com/artist/1TBqlc2KwgI8pEkTdkTwGH,5.0,['scandinavian r&b'],10.0
You Make It Feel Like Christmas (feat. Blake Shelton),185,12/22/2018,Gwen Stefani,https://open.spotify.com/track/2OQ6a4CfUeYskpTTgyawyJ,Sweden,top200,NEW_ENTRY,32115,172,0.635,0.87,2.0,-4.291,0.0,0.04,0.0152,0.0,0.118,0.912,92.999,156773.0,https://open.spotify.com/artist/4yiQZ8tQPux8cPriYMWUFP,54.0,"['dance pop', 'pop']",73.0
You are the Problem Here,104,3/10/2017,First Aid Kit,https://open.spotify.com/track/1wSGgkDKaX5OXM7NPqJv4U,Sweden,top200,NEW_ENTRY,31514,104,0.468,0.775,10.0,-5.225,0.0,0.0443,0.016,0.000312,0.102,0.246,112.408,218373.0,https://open.spotify.com/artist/21egYD1eInY6bGFcniCRT1,30.0,"['swedish americana', 'swedish country']",65.0
Yummy,6,1/3/2020,Justin Bieber,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l,Sweden,top200,NEW_ENTRY,113748,6,0.687,0.514,9.0,-6.612,0.0,0.0897,0.366,0.0,0.116,0.494,145.921,210427.0,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s,67.0,"['canadian pop', 'pop']",91.0
borderline (feat. Missy Elliott),173,8/17/2018,Ariana Grande,https://open.spotify.com/track/4b7mLZQWsy0rLnrMtPA9fQ,Sweden,top200,NEW_ENTRY,20581,173,0.761,0.818,6.0,-5.238,0.0,0.0978,0.058,0.0,0.11,0.348,110.99,177533.0,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,58.0,"['dance pop', 'pop']",91.0
my strange addiction,47,3/29/2019,Billie Eilish,https://open.spotify.com/track/3Tc57t9l2O8FwQZtQOvPXK,Sweden,top200,NEW_ENTRY,69435,40,0.939,0.305,8.0,-10.952,0.0,0.354,0.35,0.000169,0.105,0.563,100.029,179889.0,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,74.0,"['art pop', 'electropop', 'pop']",89.0
?INGNES ??NNY L?T,170,4/24/2020,"Rasmus Gozzi, Louise Andersson Bodin",https://open.spotify.com/track/1PQoficDPRvKsRiRFUK0WR,Sweden,top200,NEW_ENTRY,24847,170,0.754,0.718,7.0,-7.456,1.0,0.136,0.188,0.0,0.507,0.618,98.015,165306.0,https://open.spotify.com/artist/3loTvAld5Tpk5aSNbboGpj,34.0,['russelater'],69.0
200 kmh,143,8/7/2020,"Monk, BHZ",https://open.spotify.com/track/2PwZStrk1IywDTAlnY4bsJ,Switzerland,top200,NEW_ENTRY,7599,143,0.748,0.504,9.0,-9.312,1.0,0.0595,0.118,0.00106,0.118,0.164,82.511,116656.0,https://open.spotify.com/artist/0jEyGu5QKLxQ2tIZVnRbfE,0.0,"['german hip hop', 'german trap']",62.0
47 AK,146,11/23/2018,"Kalash Criminel, Gradur",https://open.spotify.com/track/5npjrk0bYGbINMUQxqnE7i,Switzerland,top200,NEW_ENTRY,6361,146,0.82,0.79,5.0,-5.024,0.0,0.263,0.165,0.0,0.106,0.329,126.061,233987.0,https://open.spotify.com/artist/6ytOHdKh4xt4YvF7tz8Zcv,31.0,"['french hip hop', 'pop urbaine', 'rap francais']",60.0
6.3,79,2/20/2020,"Naps, Ninho",https://open.spotify.com/track/74gvfUeukgShMIZ2FH3PTc,Switzerland,top200,NEW_ENTRY,9133,31,0.875,0.614,3.0,-7.238,0.0,0.212,0.69,0.0,0.114,0.753,119.963,212320.0,https://open.spotify.com/artist/6W5uA6CNMf3hd2j4a2XWCx,49.0,"['francoton', 'french hip hop', 'pop urbaine', 'rap marseille']",71.0
8 Days of Christmas,138,12/24/2017,Destiny's Child,https://open.spotify.com/track/3WrG9BpOPQWUus3FjA1Tny,Switzerland,top200,NEW_ENTRY,8023,138,0.687,0.843,9.0,-1.18,0.0,0.194,0.0501,0.0,0.0604,0.638,99.789,210133.0,https://open.spotify.com/artist/1Y8cdNmUJH7yBTd9yOvr5i,34.0,"['dance pop', 'girl group', 'hip pop', 'pop', 'r&b', 'urban contemporary']",72.0
9 mm,154,10/4/2019,"Kalazh44, Capital Bra, Samra, Brudi030",https://open.spotify.com/track/1EEif6kePd2mu4c0bDbuSZ,Switzerland,top200,NEW_ENTRY,6879,154,0.794,0.84,1.0,-4.777,1.0,0.24,0.313,0.0,0.311,0.733,74.998,244480.0,https://open.spotify.com/artist/5sRQkVexJlax2iISuqL8cV,21.0,"['german drill', 'german hip hop', 'german underground rap']",54.0
A Place for My Head,170,7/21/2017,Linkin Park,https://open.spotify.com/track/5rAxhWcgFng3s570sGO2F8,Switzerland,top200,NEW_ENTRY,3514,170,0.603,0.908,11.0,-5.254,1.0,0.184,0.0144,0.0,0.671,0.457,133.063,184640.0,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,72.0,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",87.0
AQUA,2,11/27/2020,Luciano,https://open.spotify.com/track/6pxHE5Aoq63VMHvGVlc3xZ,Switzerland,top200,NEW_ENTRY,35268,2,0.945,0.421,11.0,-8.854,0.0,0.239,0.0543,0.000139,0.144,0.704,131.997,178182.0,https://open.spotify.com/artist/3CJKkU0XuElRT1z8rEtIYg,38.0,['german drill'],78.0
