title,rank,date,artist,url,region,chart,trend,streams,min_rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,artist_url,track_popularity,artist_genres,artist_popularity
Show Out (with Skepta & Pop Smoke),179,12/11/2020,Kid Cudi,https://open.spotify.com/track/5CFJRZRq6sdKKtRwNPWbYv,Italy,top200,NEW_ENTRY,37701,179,0.619,0.589,1.0,-6.531,1.0,0.124,0.43,0.000392,0.378,0.158,143.896,174960.0,https://open.spotify.com/artist/0fA0VVWsXO9YnASrzqfmYu,69.0,"['hip hop', 'ohio hip hop', 'rap']",82.0
"Si, ah",195,12/6/2018,Frah Quintale,https://open.spotify.com/track/4nS6mZBLYgtksYyXsuXgBw,Italy,top200,NEW_ENTRY,34988,167,0.586,0.597,5.0,-6.422,1.0,0.355,0.105,0.0,0.051,0.961,106.556,172850.0,https://open.spotify.com/artist/7BgEOZ9w3Y4IMShXTMu1nN,64.0,"['italian hip hop', 'italian indie pop', 'milan indie']",66.0
Sick Boy,81,1/19/2018,The Chainsmokers,https://open.spotify.com/track/7jqDzXJS0K0Re8uphYNit0,Italy,top200,NEW_ENTRY,42355,65,0.548,0.58,11.0,-7.524,0.0,0.121,0.104,0.0,0.127,0.462,180.066,193893.0,https://open.spotify.com/artist/69GGBxA162lTqCwzJG5jLp,0.0,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",81.0
Simba,33,8/31/2018,Ernia,https://open.spotify.com/track/4yo8MP7l786kgyJQyyrwrX,Italy,top200,NEW_ENTRY,111633,21,0.752,0.5,1.0,-7.143,1.0,0.142,0.038,0.00231,0.11,0.43,97.963,199000.0,https://open.spotify.com/artist/3fhMfkPPzksWuw0hEm4ldm,0.0,"['italian hip hop', 'italian pop', 'milan indie']",71.0
Snowman,199,12/16/2020,Sia,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq,Italy,top200,NEW_ENTRY,32632,42,0.716,0.512,1.0,-6.257,1.0,0.0331,0.483,0.0,0.0928,0.326,104.957,165907.0,https://open.spotify.com/artist/5WUlDfRSoLAfcVSX1WnrxN,78.0,"['australian dance', 'australian pop', 'dance pop', 'pop']",85.0
Staring At The Sun (feat. SZA),134,9/6/2019,Post Malone,https://open.spotify.com/track/2leIuE4fdcJoNMSKu5Yr7a,Italy,top200,NEW_ENTRY,57892,134,0.724,0.772,6.0,-4.389,0.0,0.184,0.248,0.0,0.308,0.347,95.074,168280.0,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60,0.0,"['dfw rap', 'melodic rap', 'rap']",89.0
Start A Fire,197,1/30/2017,John Legend,https://open.spotify.com/track/3gGHAScxUDsJqcAM6ZvjuH,Italy,top200,NEW_ENTRY,8724,188,0.543,0.848,10.0,-6.058,0.0,0.0531,0.0834,0.0,0.799,0.29,102.009,192093.0,https://open.spotify.com/artist/5y2Xq6xcjJb2jVM54GHK3t,0.0,"['neo mellow', 'neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']",78.0
Start Over,149,6/23/2017,Imagine Dragons,https://open.spotify.com/track/6Q9ue1D2FU489FD4Uln3SX,Italy,top200,NEW_ENTRY,18429,149,0.698,0.928,1.0,-5.024,0.0,0.102,0.00529,0.000102,0.144,0.767,98.008,186080.0,https://open.spotify.com/artist/53XhwfbYqKCa1cC15pYq2q,0.0,"['modern rock', 'rock']",89.0
Stavo Pensando A Te,34,4/7/2017,Fabri Fibra,https://open.spotify.com/track/6cjyaU5VscMdHi69q2w5Fo,Italy,top200,NEW_ENTRY,46139,34,0.715,0.775,7.0,-5.446,1.0,0.192,0.0073,0.0,0.188,0.491,104.974,264573.0,https://open.spotify.com/artist/7u710e44HW3K7A5eTnRqHC,0.0,"['italian hip hop', 'rap napoletano']",66.0
Stitches,113,1/1/2017,Shawn Mendes,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q,Italy,top200,MOVE_UP,7908,113,0.746,0.754,1.0,-6.681,1.0,0.067,0.0152,0.0,0.0486,0.764,149.882,206880.0,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr,0.0,"['canadian pop', 'dance pop', 'pop', 'viral pop']",85.0
Take 2,41,7/9/2020,Shiva,https://open.spotify.com/track/2IQcBTKoPl1CCrTQ2XQmGZ,Italy,top200,NEW_ENTRY,122596,41,0.787,0.654,1.0,-6.12,1.0,0.372,0.0281,0.0,0.109,0.813,140.194,182571.0,https://open.spotify.com/artist/2K5nCggbhSZ00YCYP5qkZS,0.0,"['italian hip hop', 'trap italiana']",77.0
Takin' Shots,126,4/27/2018,Post Malone,https://open.spotify.com/track/5ffntNJnJOeFv7b7DCd0Bw,Italy,top200,NEW_ENTRY,42663,126,0.762,0.621,0.0,-6.24,1.0,0.0866,0.61,0.0,0.464,0.593,120.056,216747.0,https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60,62.0,"['dfw rap', 'melodic rap', 'rap']",89.0
That's What I Like,187,2/15/2017,Bruno Mars,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,Italy,top200,NEW_ENTRY,10882,25,0.853,0.56,1.0,-4.961,1.0,0.0406,0.013,0.0,0.0944,0.86,134.066,206693.0,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C,84.0,"['dance pop', 'pop']",89.0
The Christmas Waltz,126,12/23/2017,Tony Bennett,https://open.spotify.com/track/08BhfyKUXxZrnyHrDavNHP,Italy,top200,NEW_ENTRY,28231,42,0.442,0.288,6.0,-11.793,1.0,0.0327,0.911,6.59e-06,0.0987,0.358,107.122,199093.0,https://open.spotify.com/artist/2lolQgalUvZDfp5vvVtTYV,34.0,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",62.0
This Is America,188,5/7/2018,Childish Gambino,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9,Italy,top200,NEW_ENTRY,25321,70,0.854,0.463,5.0,-6.159,1.0,0.137,0.117,0.0,0.354,0.549,120.024,225773.0,https://open.spotify.com/artist/73sIBHcqh3Z3NyqHKZ7FOL,71.0,"['atl hip hop', 'hip hop', 'pop', 'rap']",80.0
Ti Avrei Voluto Dire,130,6/1/2017,Federica Carta,https://open.spotify.com/track/5WASxM3bhQdoK2F3inczyf,Italy,top200,NEW_ENTRY,18277,100,0.634,0.73,4.0,-3.655,1.0,0.0456,0.486,0.0,0.105,0.412,76.985,186240.0,https://open.spotify.com/artist/0vQk2DnpCtSLT8QeMbCE6L,0.0,['italian pop'],46.0
Ti Fa Stare Bene,9,9/15/2017,Caparezza,https://open.spotify.com/track/4nnu4hEwa5oejaEMpizXxY,Italy,top200,NEW_ENTRY,87479,9,0.683,0.729,6.0,-5.417,0.0,0.0344,0.00572,0.00332,0.0507,0.862,127.029,250893.0,https://open.spotify.com/artist/4l0PmbNvFq3m5JaUuAPbcB,0.0,"['italian adult pop', 'italian reggae']",58.0
Ti Sembra Normale,180,1/2/2017,Max Gazz?,https://open.spotify.com/track/52eRusyNurvnqVxUtL8oIL,Italy,top200,NEW_ENTRY,7712,168,0.73,0.658,8.0,-6.782,1.0,0.0436,0.01,0.0,0.104,0.818,136.006,215808.0,https://open.spotify.com/artist/1h5O32I1o0VOnpLmKXLfRa,53.0,"['classic italian pop', 'italian adult pop']",54.0
Tiki Taka,98,2/22/2019,"Quentin40, Dr. Cream",https://open.spotify.com/track/1VxhRzYvR3r4f7T3WlAfdT,Italy,top200,NEW_ENTRY,56189,98,0.948,0.736,7.0,-7.503,1.0,0.147,0.0139,0.0,0.129,0.392,104.974,152000.0,https://open.spotify.com/artist/63iLDTZb43E6k8Ign6voma,14.0,"['italian hip hop', 'italian indie pop', 'trap italiana']",48.0
Tiki Taka (feat. Ricky Jo),92,6/1/2018,Ludovica Pagani,https://open.spotify.com/track/7BcDFAXmWCm3pURv549eMz,Italy,top200,NEW_ENTRY,56859,92,0.732,0.866,11.0,-3.578,0.0,0.0492,0.097,1.06e-06,0.348,0.714,100.003,153505.0,https://open.spotify.com/artist/0Ab61kRJ0CWyfeVQ4ckek2,15.0,[],13.0
Too Much To Ask,97,9/15/2017,Niall Horan,https://open.spotify.com/track/2NkbRmygVirMQFCjSkyY7Q,Italy,top200,NEW_ENTRY,31860,61,0.508,0.534,0.0,-6.522,1.0,0.0376,0.366,0.0,0.126,0.222,153.61,223044.0,https://open.spotify.com/artist/1Hsdzj7Dlq2I7tHP7501T4,46.0,"['dance pop', 'pop', 'post-teen pop']",79.0
Top Five,158,3/8/2019,Mondo Marcio,https://open.spotify.com/track/29qcZ7aubF5lFCEkMVzBBc,Italy,top200,NEW_ENTRY,44801,158,0.644,0.718,11.0,-5.603,0.0,0.263,0.102,0.0,0.1,0.38,92.824,147560.0,https://open.spotify.com/artist/6Fd10Q3sQq1NsvpFTlvMsN,27.0,"['italian hip hop', 'italian underground hip hop']",51.0
Tutte'e parole,181,11/23/2018,Rocco Hunt,https://open.spotify.com/track/44a2ZH7bJsYhszW8bDmjf2,Italy,top200,NEW_ENTRY,39258,181,0.657,0.564,8.0,-9.018,1.0,0.178,0.248,1.05e-06,0.172,0.296,126.349,200101.0,https://open.spotify.com/artist/0L1f9i3L3fkMNENljDOsjG,39.0,"['italian hip hop', 'italian pop', 'pop virale italiano', 'rap napoletano']",66.0
Tutto Bene,176,5/18/2018,Ex-Otago,https://open.spotify.com/track/6AezcBhffKNCUTUNQjixDH,Italy,top200,NEW_ENTRY,31616,176,0.811,0.634,8.0,-4.965,1.0,0.134,0.0414,4.34e-06,0.062,0.619,120.041,191204.0,https://open.spotify.com/artist/237CwiTh0USBnyLOSC3FIW,21.0,"['indie liguria', 'italian alternative', 'italian indie pop', 'rap napoletano']",44.0
Tutto per me,64,6/7/2021,Michele Merlo,https://open.spotify.com/track/4SiUjcDLZyvMsCMXmxI2gw,Italy,top200,NEW_ENTRY,91317,64,0.554,0.457,3.0,-7.754,1.0,0.0297,0.592,0.0,0.101,0.206,144.074,226423.0,https://open.spotify.com/artist/6ngQRJyPmD9dPecABvtYW2,52.0,[],40.0
Ulisse,14,1/1/2017,lowlow,https://open.spotify.com/track/0QvhWAa8Xxia8Efct2rv7x,Italy,top200,MOVE_UP,33372,8,0.683,0.745,7.0,-6.2,0.0,0.28,0.093,0.0,0.127,0.31,95.933,204800.0,https://open.spotify.com/artist/5tBnK7LvBMgvkXuePtfywp,0.0,"['italian hip hop', 'italian pop', 'rome indie']",50.0
Una volta ancora (feat. Ana Mena),47,6/4/2019,Fred De Palma,https://open.spotify.com/track/6gaeewGjNiQhWOUkWRSLTa,Italy,top200,NEW_ENTRY,105889,1,0.771,0.638,8.0,-5.342,1.0,0.0622,0.0848,0.0,0.104,0.591,124.039,174291.0,https://open.spotify.com/artist/0QrUbsrL5imqntAfDl8i7q,0.0,['italian pop'],64.0
