title,rank,date,artist,url,region,chart,trend,streams,min_rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,artist_url,track_popularity,artist_genres,artist_popularity
Life is Beautiful,30,11/8/2018,Lil Peep,https://open.spotify.com/track/04cB1RXKfacmrsunSXTepQ,Czech Republic,top200,NEW_ENTRY,5976,7,0.533,0.638,10.0,-9.411,1.0,0.0636,0.0385,0.000932,0.0758,0.324,135.056,207587.0,https://open.spotify.com/artist/2kCcBybjl3SAtIcwdWpUe3,0.0,"['emo rap', 'lgbtq+ hip hop']",84.0
Like It's Christmas,168,12/14/2019,Jonas Brothers,https://open.spotify.com/track/1OjmlSFuzYflWjSMTCyTJv,Czech Republic,top200,NEW_ENTRY,3917,87,0.725,0.571,1.0,-6.007,1.0,0.102,0.0183,0.0,0.0519,0.61,146.035,200880.0,https://open.spotify.com/artist/7gOdHgIoIKoe4i9Tta6qdD,55.0,"['boy band', 'dance pop', 'pop', 'post-teen pop']",77.0
Like a Stone,132,5/18/2017,Audioslave,https://open.spotify.com/track/2xt2piJx6jlFkjS77YiqpL,Czech Republic,top200,NEW_ENTRY,1420,132,0.614,0.568,7.0,-5.477,0.0,0.0276,0.00797,0.0,0.0997,0.516,107.849,293960.0,https://open.spotify.com/artist/2ziB7fzrXBoh1HUPS6sVFn,50.0,"['alternative metal', 'alternative rock', 'nu metal', 'permanent wave', 'post-grunge', 'rock', 'supergroup']",69.0
Look At Her Now,25,10/24/2019,Selena Gomez,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m,Czech Republic,top200,NEW_ENTRY,8377,14,0.563,0.564,10.0,-7.906,0.0,0.271,0.114,0.0254,0.304,0.55,154.355,162596.0,https://open.spotify.com/artist/0C8ZW7ezQVs4URX5aX7Kqx,8.0,"['dance pop', 'pop', 'post-teen pop']",87.0
Lost Boy,171,1/2/2017,Ruth B.,https://open.spotify.com/track/0zMzyHAeMvwq5CRstru1Fp,Czech Republic,top200,NEW_ENTRY,1006,171,0.586,0.128,7.0,-9.297,1.0,0.0496,0.963,0.0,0.0858,0.371,123.498,276067.0,https://open.spotify.com/artist/2WzaAvm2bBCf4pEhyuDgCY,68.0,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'pop']",76.0
Love (feat. Rae Sremmurd),187,9/8/2017,ILOVEMAKONNEN,https://open.spotify.com/track/5rnFOEEIBIWZ6dhHrY6zHh,Czech Republic,top200,NEW_ENTRY,1406,187,0.729,0.891,7.0,-3.114,1.0,0.0795,0.0358,8.95e-06,0.358,0.865,144.872,283193.0,https://open.spotify.com/artist/3aGFCoR8xGN6DKwvdzeSja,27.0,"['atl hip hop', 'lgbtq+ hip hop', 'trap']",58.0
Luna,10,6/7/2021,CA$HANOVA BULHAR,https://open.spotify.com/track/6k2FK8tZ9R4ZWiaGfI6mrh,Czech Republic,top200,NEW_ENTRY,31268,7,0.609,0.677,11.0,-7.164,0.0,0.154,0.439,0.000123,0.324,0.389,179.844,151000.0,https://open.spotify.com/artist/3aBiDlzy0xIlHfbHAWYton,37.0,"['czech drill', 'czech hip hop', 'czsk hip hop']",56.0
Luskni,14,12/6/2019,"Yzomandias, Nik Tendo, Karlo",https://open.spotify.com/track/1FI3ObsdUhThVXz1RRLaUk,Czech Republic,top200,NEW_ENTRY,19352,14,0.878,0.606,9.0,-11.534,0.0,0.125,0.014,0.263,0.0484,0.572,79.991,189000.0,https://open.spotify.com/artist/721o1Z0J6jQupyzLt9RnEk,26.0,"['czech drill', 'czech hip hop', 'czsk hip hop']",63.0
Mam rad,92,11/10/2021,Miro ?birka,https://open.spotify.com/track/3dy5oEu2K9ujwyJBd12fTZ,Czech Republic,top200,NEW_ENTRY,6398,20,0.746,0.533,2.0,-5.721,1.0,0.0301,0.609,1.05e-06,0.368,0.456,120.035,179307.0,https://open.spotify.com/artist/38vf1Wys8uNYdbZQwtGpmr,35.0,"['slovak pop', 'slovak punk']",44.0
Mamba,5,9/11/2020,"Sergei Barracuda, Dokkeytino",https://open.spotify.com/track/3kWRN8mL27I2igBUtuN9bu,Czech Republic,top200,NEW_ENTRY,21581,5,0.701,0.707,7.0,-6.769,0.0,0.0628,0.0536,0.0,0.116,0.398,142.074,242455.0,https://open.spotify.com/artist/1hwvc8bcyy9ruXXXRLcfko,36.0,"['czech hip hop', 'czsk hip hop']",54.0
