title,rank,date,artist,url,region,chart,trend,streams,min_rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,artist_url,track_popularity,artist_genres,artist_popularity
Magenta Riddim,85,2/23/2018,DJ Snake,https://open.spotify.com/track/0VdTG2MWrR5K5FYyLqBr0n,Sweden,top200,NEW_ENTRY,32489,85,0.598,0.896,10.0,-3.7,0.0,0.0655,0.000459,0.824,0.327,0.559,102.043,194490.0,,,,
Make It To Heaven (with Raye),62,11/22/2019,"David Guetta, MORTEN",https://open.spotify.com/track/5dS2dvXVPe7AR6UwBpnomW,Sweden,top200,NEW_ENTRY,48256,62,0.587,0.92,0.0,-4.697,0.0,0.0914,0.0936,0.073,0.185,0.35,126.035,172381.0,,,,
Mary Jane's Last Dance,163,10/3/2017,Tom Petty and the Heartbreakers,https://open.spotify.com/track/5xS9hkTGfxqXyxX6wWWTt4,Sweden,top200,NEW_ENTRY,18121,163,0.451,0.669,10.0,-9.033,1.0,0.0651,0.0267,0.0,0.153,0.523,169.632,272133.0,,,,
Mercy,39,1/1/2017,Shawn Mendes,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,Sweden,top200,MOVE_UP,41971,30,0.469,0.68,11.0,-4.921,0.0,0.117,0.137,0.0,0.11,0.374,147.734,208733.0,,,,
Mi Amor,64,9/27/2019,Newkid,https://open.spotify.com/track/1eofOgAQYuoqvB0pNh8jAz,Sweden,top200,NEW_ENTRY,46165,64,0.689,0.69,11.0,-5.846,0.0,0.0638,0.00897,0.0,0.291,0.482,105.034,206011.0,,,,
Min v?g,107,10/31/2018,"SINAN, Matte Caliste",https://open.spotify.com/track/5ai0EzaWfDuFnYAhx2gAK4,Sweden,top200,NEW_ENTRY,24511,53,0.621,0.637,9.0,-6.078,0.0,0.0653,0.413,0.00051,0.109,0.305,105.991,194702.0,,,,
Minnet Av Ett Hav,67,11/12/2021,Laleh,https://open.spotify.com/track/17xpeHftsvBZRt9OYfNZ00,Sweden,top200,NEW_ENTRY,43394,67,0.308,0.533,11.0,-6.784,0.0,0.0446,0.627,0.0,0.316,0.394,152.076,226253.0,,,,
Mirakel,47,6/12/2020,"Kids of revolution, Ricky Rich",https://open.spotify.com/track/21IFBWRrb0xHProUspYrF2,Sweden,top200,NEW_ENTRY,59158,31,0.841,0.766,2.0,-6.45,1.0,0.178,0.105,0.0,0.194,0.388,100.065,184107.0,,,,
Mirrors,130,11/18/2020,Justin Timberlake,https://open.spotify.com/track/4rHZZAmHpZrA3iH5zx8frV,Sweden,top200,NEW_ENTRY,19704,105,0.574,0.512,5.0,-6.664,0.0,0.0503,0.234,0.0,0.0946,0.512,76.899,484147.0,,,,
Mood Ring,93,8/20/2021,Lorde,https://open.spotify.com/track/6FE9EXi8TYg09hR4xv5PWJ,Sweden,top200,NEW_ENTRY,31295,93,0.709,0.459,5.0,-11.193,1.0,0.0654,0.432,6.29e-06,0.23,0.377,95.014,225863.0,,,,
Moving Slow,185,2/10/2017,Jesper Lindell,https://open.spotify.com/track/65j9kI6OvsG1iIlgjQV3Il,Sweden,top200,NEW_ENTRY,19195,181,0.461,0.406,6.0,-8.814,1.0,0.0298,0.382,0.0,0.106,0.179,88.62,242307.0,,,,
M?r Inte Bra,20,4/30/2021,Asme,https://open.spotify.com/track/0m9aPXkGSJbbmtDDFd764E,Sweden,top200,NEW_ENTRY,94370,17,0.929,0.492,9.0,-7.972,1.0,0.303,0.366,0.0,0.0873,0.506,95.971,135000.0,,,,
No Frauds,69,3/10/2017,"Nicki Minaj, Drake, Lil Wayne",https://open.spotify.com/track/7KcGEssn7BnJdTgildK5y0,Sweden,top200,NEW_ENTRY,51468,69,0.867,0.558,1.0,-6.975,1.0,0.258,0.0884,4.05e-06,0.541,0.432,139.061,272453.0,,,,
No Sleep,61,9/28/2018,Benjamin Ingrosso,https://open.spotify.com/track/0H4z0osfuMo6NUxVtrHIOs,Sweden,top200,NEW_ENTRY,50866,61,0.607,0.627,7.0,-7.072,1.0,0.0316,0.282,0.00147,0.101,0.338,142.015,176240.0,,,,
Nobody But You,96,5/12/2018,Cesar Sampson,https://open.spotify.com/track/41gxXNTTz6LNVY2LIKoRHn,Sweden,top200,NEW_ENTRY,28874,23,0.502,0.509,11.0,-6.321,0.0,0.0322,0.09,0.0,0.358,0.434,84.818,183511.0,,,,
Noticed,180,9/11/2018,Lil Mosey,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC,Sweden,top200,NEW_ENTRY,16144,84,0.699,0.558,11.0,-7.622,1.0,0.0603,0.462,0.0,0.116,0.493,79.992,165000.0,,,,
Ny lur,135,2/9/2018,Newkid,https://open.spotify.com/track/6GPRhcxKjl9QudAahfHrVQ,Sweden,top200,NEW_ENTRY,23556,135,0.502,0.519,6.0,-7.195,1.0,0.11,0.0455,1.61e-06,0.244,0.362,149.94,147200.0,,,,
O Holy Night - Remastered,182,12/23/2017,Ella Fitzgerald,https://open.spotify.com/track/17i6emNGrRgV2D9TW852Q8,Sweden,top200,NEW_ENTRY,31434,123,0.347,0.153,6.0,-15.31,1.0,0.0343,0.922,6.6e-05,0.111,0.152,51.59,108093.0,,,,
Oj Oj Oj,198,7/19/2018,"Dree Low, K27",https://open.spotify.com/track/7Iy6zCtDBKr6YzwGoSgxiN,Sweden,top200,NEW_ENTRY,16330,198,0.872,0.388,9.0,-12.915,1.0,0.371,0.0259,0.0,0.0779,0.785,135.008,177778.0,,,,
