title,rank,date,artist,url,region,chart,trend,streams,min_rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,artist_url,track_popularity,artist_genres,artist_popularity
Stay Stay Stay (Taylor's Version),33,11/12/2021,Taylor Swift,https://open.spotify.com/track/1ftFtW8S1621tu0MIQy0Sg,Ireland,top200,NEW_ENTRY,23619,33,0.693,0.681,0.0,-7.039,1.0,0.025,0.0848,0.0,0.0768,0.663,100.02,205787.0,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,43.0,['pop'],100.0
Step Into Christmas,112,12/1/2017,Elton John,https://open.spotify.com/track/3YQUpKTmtgPJf8u6ooi9KA,Ireland,top200,NEW_ENTRY,6106,9,0.532,0.926,2.0,-5.536,1.0,0.0357,0.112,9.84e-06,0.318,0.814,140.137,272394.0,https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b,0.0,"['glam rock', 'mellow gold', 'piano rock']",84.0
Stolen Dance,108,7/16/2017,Milky Chance,https://open.spotify.com/track/6vECYJHxYmm3Ydt3fF01pE,Ireland,top200,NEW_ENTRY,4366,108,0.885,0.581,11.0,-8.813,1.0,0.0378,0.427,0.000204,0.0759,0.728,114.016,313684.0,https://open.spotify.com/artist/1hzfo8twXdOegF3xireCYs,74.0,['german pop'],74.0
Stupid Love,10,2/28/2020,Lady Gaga,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb,Ireland,top200,NEW_ENTRY,37090,10,0.676,0.815,8.0,-4.294,1.0,0.0625,0.00146,0.00041,0.275,0.796,117.973,193531.0,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms,32.0,"['art pop', 'dance pop', 'pop']",87.0
Sun Queen,86,10/11/2019,Gerry Cinnamon,https://open.spotify.com/track/3gvop6gMwnUvGiCfY5iCJK,Ireland,top200,NEW_ENTRY,9577,78,0.652,0.799,0.0,-8.563,1.0,0.0288,0.36,0.000993,0.0806,0.775,127.997,247250.0,https://open.spotify.com/artist/7cpCnhhBIU1gA7EhTFApN1,1.0,"['glasgow indie', 'modern rock', 'scottish indie rock']",61.0
Supermarket Flowers,14,3/3/2017,Ed Sheeran,https://open.spotify.com/track/4VuS959DSpr82t3qBqCrWG,Ireland,top200,NEW_ENTRY,61592,10,0.589,0.242,6.0,-10.517,1.0,0.0442,0.914,0.0,0.0887,0.257,89.749,221107.0,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V,75.0,"['pop', 'uk pop']",92.0
TOES (feat. Lil Baby & Moneybagg Yo),186,1/3/2020,DaBaby,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG,Ireland,top200,NEW_ENTRY,5721,88,0.816,0.582,8.0,-4.141,1.0,0.341,0.0794,5.84e-06,0.0916,0.542,160.004,136366.0,https://open.spotify.com/artist/4r63FhuTkUYltbVAg5TQnk,68.0,"['north carolina hip hop', 'rap', 'trap']",82.0
Tattoos Together,197,1/17/2020,Lauv,https://open.spotify.com/track/0ycFQvBTfuo1LCdG0HhszL,Ireland,top200,NEW_ENTRY,6115,197,0.862,0.4,4.0,-7.486,1.0,0.0736,0.00575,7.49e-06,0.123,0.596,122.963,186613.0,https://open.spotify.com/artist/5JZ7CnR6gTvEMKX4g70Amv,1.0,"['dance pop', 'pop']",78.0
Tell Me U Luv Me (with Trippie Redd),63,5/29/2020,Juice WRLD,https://open.spotify.com/track/4CNcRgjGw1v9VQaTaytdnD,Ireland,top200,NEW_ENTRY,15524,23,0.609,0.757,2.0,-5.605,1.0,0.119,0.299,0.0,0.63,0.379,128.022,180129.0,https://open.spotify.com/artist/4MCBfE4596Uoi2O4DtmEMz,0.0,"['chicago rap', 'melodic rap']",90.0
The Greatest,62,1/1/2017,Sia,https://open.spotify.com/track/6bLopGnirdrilrpdVB6Um1,Ireland,top200,MOVE_DOWN,4444,62,0.639,0.785,10.0,-6.167,0.0,0.174,0.0174,0.00107,0.0512,0.686,191.95,210920.0,https://open.spotify.com/artist/5WUlDfRSoLAfcVSX1WnrxN,74.0,"['australian dance', 'australian pop', 'dance pop', 'pop']",85.0
The Line,145,5/19/2017,RAYE,https://open.spotify.com/track/1plZmgdeIPyovCabUWQ7wb,Ireland,top200,NEW_ENTRY,3998,145,0.688,0.816,1.0,-4.412,1.0,0.0603,0.009,4.15e-06,0.138,0.405,123.892,199354.0,https://open.spotify.com/artist/5KKpBU5eC2tJDzf0wmlRp2,0.0,"['dance pop', 'pop', 'uk contemporary r&b']",81.0
The Next Episode,121,3/2/2017,"Dr. Dre, Snoop Dogg",https://open.spotify.com/track/20LxTsa6936zOlzTWqoPVt,Ireland,top200,NEW_ENTRY,4036,121,0.92,0.891,3.0,-2.398,0.0,0.253,0.0313,0.0,0.083,0.311,95.295,161600.0,https://open.spotify.com/artist/6DPYiyq5kWVQS4RGwxzPC7,1.0,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",81.0
The Sky Is A Neighborhood,111,8/25/2017,Foo Fighters,https://open.spotify.com/track/5vFshmrfuOng89bVtW33J9,Ireland,top200,NEW_ENTRY,5447,100,0.358,0.549,11.0,-7.843,0.0,0.0693,0.000799,0.00503,0.22,0.533,130.733,244573.0,https://open.spotify.com/artist/7jy3rLJdDQY21OgRLCZ9sD,0.0,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",79.0
There's Nothing Holdin' Me Back - NOTD Remix,163,6/3/2017,Shawn Mendes,https://open.spotify.com/track/2nCEN5q18oVaSpEdPdnRod,Ireland,top200,NEW_ENTRY,3463,163,0.718,0.684,11.0,-4.593,0.0,0.0532,0.0676,0.0,0.0834,0.768,121.976,194320.0,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr,0.0,"['canadian pop', 'dance pop', 'pop', 'viral pop']",85.0
Think About Us (feat. Ty Dolla $ign),147,2/13/2019,Little Mix,https://open.spotify.com/track/18n2GdCpsHYzkbMKPavE7Y,Ireland,top200,NEW_ENTRY,6283,51,0.511,0.795,8.0,-3.714,1.0,0.146,0.0845,0.0,0.102,0.432,175.987,234434.0,https://open.spotify.com/artist/3e7awlrlDSwF3iM0WBjGMp,0.0,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']",77.0
This Is Why We Can't Have Nice Things,189,12/4/2017,Taylor Swift,https://open.spotify.com/track/07NxDD1iKCHbAldceD7QLP,Ireland,top200,NEW_ENTRY,4063,189,0.567,0.789,5.0,-5.986,1.0,0.115,0.0156,0.0,0.382,0.438,163.96,207133.0,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,72.0,['pop'],100.0
Time of Our Lives,152,10/13/2017,"Pitbull, Ne-Yo",https://open.spotify.com/track/2bJvI42r8EF3wxjOuDav4r,Ireland,top200,NEW_ENTRY,4363,152,0.721,0.802,1.0,-5.797,1.0,0.0583,0.0921,0.0,0.694,0.724,124.022,229360.0,https://open.spotify.com/artist/0TnOYISbd1XYRBk9myaseg,80.0,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",83.0
To Be Loved,10,11/19/2021,Adele,https://open.spotify.com/track/10ImcQk9tihY1EKMDIbvXJ,Ireland,top200,NEW_ENTRY,51076,10,0.356,0.176,8.0,-8.291,1.0,0.0391,0.843,0.0,0.231,0.289,170.425,403962.0,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY,68.0,"['british soul', 'pop', 'pop soul', 'uk pop']",87.0
Tunnel Vision,196,3/17/2017,Kodak Black,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4,Ireland,top200,NEW_ENTRY,2970,150,0.497,0.489,11.0,-7.724,0.0,0.294,0.0576,9.91e-05,0.122,0.231,171.853,268187.0,https://open.spotify.com/artist/46SHBwWsqBkxI7EeeBEQG7,72.0,"['florida drill', 'florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",82.0
Unaccommodating (feat. Young M.A),13,1/17/2020,Eminem,https://open.spotify.com/track/0q2vG0UVuy6ajjcpkQHdZM,Ireland,top200,NEW_ENTRY,36460,13,0.852,0.752,1.0,-5.793,1.0,0.0597,0.0169,0.0,0.394,0.389,89.95,216600.0,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,64.0,"['detroit hip hop', 'hip hop', 'rap']",92.0
VEX,129,2/12/2021,slowthai,https://open.spotify.com/track/0l6D20UUxbOemPoaGneKK6,Ireland,top200,NEW_ENTRY,7098,129,0.625,0.805,7.0,-7.213,1.0,0.244,0.00649,0.34,0.656,0.647,140.023,138613.0,https://open.spotify.com/artist/3r1XkJ7vCs8kHBSzGvPLdP,45.0,"['hip hop', 'rap', 'uk alternative hip hop', 'uk hip hop', 'underground hip hop']",67.0
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",144,6/25/2020,"Tory Lanez, Jack Harlow",https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC,Ireland,top200,NEW_ENTRY,6777,19,0.904,0.723,11.0,-5.224,0.0,0.26,0.0631,0.0,0.185,0.835,145.013,227478.0,https://open.spotify.com/artist/2LIk90788K0zvyj2JJVwkJ,74.0,"['deep underground hip hop', 'kentucky hip hop', 'pop', 'rap']",81.0
Walking In the Air,169,12/24/2019,Aled Jones,https://open.spotify.com/track/0SNmNadWK9EnMVAvZWiNWw,Ireland,top200,NEW_ENTRY,9297,140,0.358,0.185,2.0,-14.487,0.0,0.0306,0.842,0.0059,0.07,0.0956,98.771,206733.0,https://open.spotify.com/artist/1GeaYVIXCzBwEbjAvv0NYn,0.0,['operatic pop'],36.0
Watch Your Step,182,8/28/2020,"Disclosure, Kelis",https://open.spotify.com/track/3DWxTyMKS2ABm5kBUbJeTN,Ireland,top200,NEW_ENTRY,6016,182,0.834,0.897,11.0,-5.142,0.0,0.175,0.00507,0.000278,0.127,0.808,122.985,229627.0,https://open.spotify.com/artist/6nS5roXSAGhTGr34W6n7Et,42.0,"['edm', 'house', 'uk dance']",73.0
We Paid (feat. 42 Dugg),193,6/26/2020,Lil Baby,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp,Ireland,top200,NEW_ENTRY,5658,143,0.926,0.542,1.0,-5.064,1.0,0.293,0.135,0.0,0.0877,0.564,135.14,181929.0,https://open.spotify.com/artist/5f7VJjfbwm532GiveGC0ZK,75.0,"['atl hip hop', 'atl trap', 'rap', 'trap']",90.0
Wellerman,187,1/14/2021,The Longest Johns,https://open.spotify.com/track/3oUuRNgyIuiqVTWLCChp3s,Ireland,top200,NEW_ENTRY,5674,81,0.821,0.44,3.0,-7.378,1.0,0.271,0.696,0.0,0.225,0.822,96.563,138507.0,https://open.spotify.com/artist/5k979N1TnPncUyqlXlaRSv,0.0,['shanty'],58.0
